team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,240,39,92,13,34,13,15,12,40,26,5,3,8,13,away,win,104.0,CHICAGO BULLS,101.0
CHICAGO BULLS,240,39,88,9,26,14,17,8,39,22,5,8,10,17,home,loss,101.0,CLEVELAND CAVALIERS,104.0
TORONTO RAPTORS,240,37,83,17,34,32,38,8,36,24,6,5,7,27,away,win,123.0,DALLAS MAVERICKS,120.0
DALLAS MAVERICKS,240,43,88,11,36,23,34,7,36,25,5,2,11,29,home,loss,120.0,TORONTO RAPTORS,123.0
ORLANDO MAGIC,240,39,97,10,35,10,17,18,38,23,10,4,13,18,away,loss,98.0,HOUSTON ROCKETS,103.0
HOUSTON ROCKETS,240,38,80,12,36,15,21,3,36,20,8,7,13,19,home,win,103.0,ORLANDO MAGIC,98.0
SACRAMENTO KINGS,240,37,93,8,36,26,30,15,29,18,12,6,12,26,away,loss,108.0,LOS ANGELES CLIPPERS,122.0
LOS ANGELES CLIPPERS,240,42,88,11,29,27,29,14,38,35,6,1,18,28,home,win,122.0,SACRAMENTO KINGS,108.0
PHOENIX SUNS,240,34,85,7,26,27,32,15,25,19,8,9,16,20,away,loss,102.0,LOS ANGELES LAKERS,116.0
LOS ANGELES LAKERS,240,47,89,10,23,12,18,14,27,28,8,10,16,30,home,win,116.0,PHOENIX SUNS,102.0
UTAH JAZZ,240,46,86,15,39,18,25,6,30,30,8,5,9,17,away,win,125.0,MINNESOTA TIMBERWOLVES,111.0
MINNESOTA TIMBERWOLVES,240,37,77,17,36,20,23,5,30,22,7,4,16,22,home,loss,111.0,UTAH JAZZ,125.0
MIAMI HEAT,240,39,84,12,33,16,18,8,39,26,6,5,15,24,away,win,106.0,NEW YORK KNICKS,97.0
NEW YORK KNICKS,240,36,84,7,26,18,24,7,31,22,13,3,11,20,home,loss,97.0,MIAMI HEAT,106.0
MILWAUKEE BUCKS,240,39,91,15,37,19,28,9,40,22,6,5,14,22,away,loss,112.0,OKLAHOMA CITY THUNDER,118.0
OKLAHOMA CITY THUNDER,240,44,94,16,32,14,25,11,41,29,5,10,11,21,home,win,118.0,MILWAUKEE BUCKS,112.0
WASHINGTON WIZARDS,240,40,89,18,46,21,29,8,24,32,11,0,9,18,away,loss,119.0,SAN ANTONIO SPURS,132.0
SAN ANTONIO SPURS,240,49,86,16,34,18,21,7,42,31,6,4,15,20,home,win,132.0,WASHINGTON WIZARDS,119.0
