team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MEMPHIS GRIZZLIES,240,38,89,14,40,21,26,9,26,28,8,6,14,17,away,loss,111.0,ATLANTA HAWKS,132.0
ATLANTA HAWKS,240,52,103,17,45,11,14,15,36,35,9,9,11,26,home,win,132.0,MEMPHIS GRIZZLIES,111.0
GOLDEN STATE WARRIORS,240,42,85,12,32,10,10,12,32,28,7,2,14,20,away,win,106.0,HOUSTON ROCKETS,104.0
HOUSTON ROCKETS,240,37,78,11,41,19,23,5,26,18,7,3,10,16,home,loss,104.0,GOLDEN STATE WARRIORS,106.0
DETROIT PISTONS,240,27,77,8,37,12,18,10,27,20,7,7,17,23,away,loss,74.0,MIAMI HEAT,108.0
MIAMI HEAT,240,39,84,11,28,19,24,13,38,22,10,5,11,18,home,win,108.0,DETROIT PISTONS,74.0
BROOKLYN NETS,240,35,84,13,35,13,19,7,36,19,7,5,16,18,away,loss,96.0,OKLAHOMA CITY THUNDER,108.0
OKLAHOMA CITY THUNDER,240,41,96,11,28,15,19,16,35,21,9,6,11,20,home,win,108.0,BROOKLYN NETS,96.0
UTAH JAZZ,240,42,90,12,33,18,25,12,40,30,8,4,12,22,away,win,114.0,PHOENIX SUNS,97.0
PHOENIX SUNS,240,36,82,7,19,18,23,5,30,21,8,3,12,20,home,loss,97.0,UTAH JAZZ,114.0
ORLANDO MAGIC,240,35,90,12,33,8,9,12,36,26,3,3,10,15,away,loss,90.0,WASHINGTON WIZARDS,100.0
WASHINGTON WIZARDS,240,42,90,8,27,8,12,10,36,20,5,2,8,13,home,win,100.0,ORLANDO MAGIC,90.0
