team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,47,94,9,28,14,19,5,45,17,6,8,17,29,away,loss,117.0,BROOKLYN NETS,122.0
BROOKLYN NETS,240,42,94,10,35,28,40,7,36,25,11,2,8,21,home,win,122.0,CHICAGO BULLS,117.0
WASHINGTON WIZARDS,240,42,87,12,36,17,23,3,33,31,8,1,6,22,away,loss,113.0,CLEVELAND CAVALIERS,116.0
CLEVELAND CAVALIERS,240,45,84,15,34,11,24,7,41,30,3,2,15,21,home,win,116.0,WASHINGTON WIZARDS,113.0
MILWAUKEE BUCKS,240,47,87,13,32,8,10,6,33,32,9,6,10,15,away,win,115.0,DETROIT PISTONS,105.0
DETROIT PISTONS,240,42,89,12,37,9,12,10,29,29,8,3,11,14,home,loss,105.0,MILWAUKEE BUCKS,115.0
NEW ORLEANS PELICANS,240,46,90,9,31,20,25,13,42,27,8,9,17,17,away,win,121.0,HOUSTON ROCKETS,116.0
HOUSTON ROCKETS,240,40,101,19,56,17,24,15,30,22,11,5,12,20,home,loss,116.0,NEW ORLEANS PELICANS,121.0
PHILADELPHIA 76ERS,240,42,93,15,36,22,28,12,32,33,15,6,12,15,away,win,121.0,LOS ANGELES LAKERS,105.0
LOS ANGELES LAKERS,240,43,92,7,23,12,16,14,35,26,7,4,21,20,home,loss,105.0,PHILADELPHIA 76ERS,121.0
OKLAHOMA CITY THUNDER,240,49,91,9,21,19,26,6,37,25,7,8,7,16,away,win,126.0,ORLANDO MAGIC,117.0
ORLANDO MAGIC,240,44,102,14,41,15,18,18,35,26,4,5,12,18,home,loss,117.0,OKLAHOMA CITY THUNDER,126.0
PHOENIX SUNS,240,48,80,13,29,15,19,3,35,26,8,5,18,22,away,loss,124.0,SAN ANTONIO SPURS,126.0
SAN ANTONIO SPURS,240,47,100,15,34,17,20,14,22,29,9,4,11,15,home,win,126.0,PHOENIX SUNS,124.0
