team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,43,101,10,39,17,25,15,44,29,9,7,9,20,away,win,113.0,BROOKLYN NETS,94.0
BROOKLYN NETS,240,33,102,5,42,23,28,16,40,23,5,9,13,21,home,loss,94.0,MILWAUKEE BUCKS,113.0
DENVER NUGGETS,240,41,92,9,28,12,22,10,22,28,10,3,13,19,away,loss,103.0,DETROIT PISTONS,129.0
DETROIT PISTONS,240,48,88,16,37,17,20,16,37,32,8,8,20,20,home,win,129.0,DENVER NUGGETS,103.0
INDIANA PACERS,240,41,91,10,28,17,24,8,35,25,5,3,9,17,away,win,109.0,NEW ORLEANS PELICANS,107.0
NEW ORLEANS PELICANS,240,39,90,9,38,20,24,13,42,26,6,4,16,19,home,loss,107.0,INDIANA PACERS,109.0
HOUSTON ROCKETS,240,43,87,13,41,19,25,12,31,19,13,2,12,19,away,win,118.0,PHOENIX SUNS,110.0
PHOENIX SUNS,240,45,84,7,25,13,18,9,29,29,9,1,17,20,home,loss,110.0,HOUSTON ROCKETS,118.0
SAN ANTONIO SPURS,240,42,98,9,32,19,21,15,31,18,6,3,8,20,away,loss,112.0,SACRAMENTO KINGS,127.0
SACRAMENTO KINGS,240,50,90,13,32,14,23,8,40,26,5,5,8,18,home,win,127.0,SAN ANTONIO SPURS,112.0
ATLANTA HAWKS,240,46,91,20,40,25,29,14,36,29,7,2,12,22,away,win,137.0,WASHINGTON WIZARDS,129.0
WASHINGTON WIZARDS,240,48,97,12,38,21,29,13,27,34,5,8,8,20,home,loss,129.0,ATLANTA HAWKS,137.0
