team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHOENIX SUNS,240,41,93,13,37,17,20,6,35,25,9,4,12,29,away,loss,112.0,ATLANTA HAWKS,120.0
ATLANTA HAWKS,240,38,92,12,33,32,38,12,38,22,8,9,13,22,home,win,120.0,PHOENIX SUNS,112.0
BOSTON CELTICS,240,45,92,10,29,16,21,6,26,26,6,7,7,18,away,loss,116.0,CHICAGO BULLS,126.0
CHICAGO BULLS,240,47,88,12,30,20,21,11,38,26,4,2,13,22,home,win,126.0,BOSTON CELTICS,116.0
BROOKLYN NETS,240,40,87,17,43,20,26,11,31,23,5,6,12,26,away,win,117.0,CHARLOTTE HORNETS,115.0
CHARLOTTE HORNETS,240,39,86,12,35,25,30,12,30,15,4,5,12,23,home,loss,115.0,BROOKLYN NETS,117.0
MEMPHIS GRIZZLIES,240,40,90,5,25,22,28,15,28,18,7,6,12,21,away,loss,107.0,CLEVELAND CAVALIERS,112.0
CLEVELAND CAVALIERS,240,39,88,16,42,18,23,14,38,25,6,3,18,26,home,win,112.0,MEMPHIS GRIZZLIES,107.0
HOUSTON ROCKETS,240,40,92,16,43,22,24,12,37,26,13,7,14,23,away,win,118.0,GOLDEN STATE WARRIORS,112.0
GOLDEN STATE WARRIORS,240,42,90,14,36,14,20,9,36,26,9,10,17,19,home,loss,112.0,HOUSTON ROCKETS,118.0
DETROIT PISTONS,240,42,80,14,33,21,26,7,34,21,6,5,14,24,away,win,119.0,MIAMI HEAT,96.0
MIAMI HEAT,240,35,82,7,28,19,27,9,24,18,6,6,13,22,home,loss,96.0,DETROIT PISTONS,119.0
MINNESOTA TIMBERWOLVES,240,50,102,12,26,16,20,12,29,29,7,2,10,16,away,loss,128.0,MILWAUKEE BUCKS,140.0
MILWAUKEE BUCKS,240,50,95,19,43,21,22,10,39,28,6,8,11,17,home,win,140.0,MINNESOTA TIMBERWOLVES,128.0
LOS ANGELES LAKERS,240,44,81,10,29,17,26,6,33,33,10,3,23,21,away,loss,115.0,NEW ORLEANS PELICANS,128.0
NEW ORLEANS PELICANS,240,50,96,15,40,13,16,9,32,31,14,4,17,21,home,win,128.0,LOS ANGELES LAKERS,115.0
SACRAMENTO KINGS,240,44,97,7,19,24,34,7,40,24,7,7,9,21,away,win,119.0,OKLAHOMA CITY THUNDER,116.0
OKLAHOMA CITY THUNDER,240,40,105,14,46,22,28,16,43,17,2,6,14,26,home,loss,116.0,SACRAMENTO KINGS,119.0
PORTLAND TRAIL BLAZERS,240,49,99,5,23,27,29,19,34,29,8,6,11,23,away,win,130.0,PHILADELPHIA 76ERS,115.0
PHILADELPHIA 76ERS,240,42,87,9,24,22,28,7,26,28,5,5,11,23,home,loss,115.0,PORTLAND TRAIL BLAZERS,130.0
DALLAS MAVERICKS,240,41,97,13,36,14,18,8,34,25,2,3,3,28,away,loss,109.0,UTAH JAZZ,125.0
UTAH JAZZ,240,41,85,14,38,29,33,8,45,28,2,9,7,21,home,win,125.0,DALLAS MAVERICKS,109.0
INDIANA PACERS,240,47,83,11,25,14,22,12,29,29,13,0,23,21,away,win,119.0,WASHINGTON WIZARDS,112.0
WASHINGTON WIZARDS,240,42,79,13,35,15,21,8,24,27,15,5,22,23,home,loss,112.0,INDIANA PACERS,119.0
