team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SAN ANTONIO SPURS,265,44,108,13,39,15,21,17,43,24,4,5,12,21,away,loss,116.0,CHARLOTTE HORNETS,125.0
CHARLOTTE HORNETS,265,46,100,13,42,20,28,5,40,30,9,5,6,18,home,win,125.0,SAN ANTONIO SPURS,116.0
BOSTON CELTICS,240,46,91,10,25,14,19,11,35,23,8,3,10,21,away,win,116.0,CLEVELAND CAVALIERS,106.0
CLEVELAND CAVALIERS,240,39,80,9,28,19,25,3,33,24,4,1,14,21,home,loss,106.0,BOSTON CELTICS,116.0
SACRAMENTO KINGS,240,44,87,10,23,27,32,12,25,27,4,1,7,23,away,win,125.0,DALLAS MAVERICKS,121.0
DALLAS MAVERICKS,240,39,77,15,45,28,32,7,31,27,1,6,11,26,home,loss,121.0,SACRAMENTO KINGS,125.0
DETROIT PISTONS,240,36,102,11,42,9,13,17,39,19,5,2,6,21,away,loss,92.0,DENVER NUGGETS,95.0
DENVER NUGGETS,240,37,87,7,27,14,20,11,45,22,3,2,14,19,home,win,95.0,DETROIT PISTONS,92.0
WASHINGTON WIZARDS,240,39,90,6,32,22,27,11,28,21,5,4,17,20,away,loss,106.0,LOS ANGELES LAKERS,124.0
LOS ANGELES LAKERS,240,48,89,11,33,17,23,13,39,37,9,5,18,21,home,win,124.0,WASHINGTON WIZARDS,106.0
ORLANDO MAGIC,240,37,89,14,42,16,23,15,40,27,5,5,15,19,away,win,104.0,MIAMI HEAT,99.0
MIAMI HEAT,240,36,86,10,33,17,21,6,33,25,10,1,11,22,home,loss,99.0,ORLANDO MAGIC,104.0
HOUSTON ROCKETS,240,36,99,16,52,6,7,8,38,17,7,5,13,15,away,loss,94.0,MILWAUKEE BUCKS,108.0
MILWAUKEE BUCKS,240,42,94,14,34,10,13,10,50,24,10,6,15,11,home,win,108.0,HOUSTON ROCKETS,94.0
LOS ANGELES CLIPPERS,240,46,85,16,32,14,14,3,48,30,8,4,18,26,away,win,122.0,MINNESOTA TIMBERWOLVES,111.0
MINNESOTA TIMBERWOLVES,240,41,94,9,27,20,33,10,33,22,13,1,10,18,home,loss,111.0,LOS ANGELES CLIPPERS,122.0
ATLANTA HAWKS,240,44,97,19,51,23,26,9,32,30,13,4,16,26,away,win,130.0,NEW ORLEANS PELICANS,120.0
NEW ORLEANS PELICANS,240,39,83,12,34,30,40,8,37,28,10,6,24,23,home,loss,120.0,ATLANTA HAWKS,130.0
CHICAGO BULLS,240,39,86,8,23,17,20,7,38,20,12,2,18,16,away,loss,103.0,TORONTO RAPTORS,112.0
TORONTO RAPTORS,240,42,86,12,28,16,16,2,37,28,13,7,15,16,home,win,112.0,CHICAGO BULLS,103.0
