team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,46,91,11,29,19,21,9,36,29,8,8,11,22,away,win,122.0,ATLANTA HAWKS,103.0
ATLANTA HAWKS,240,39,86,9,30,16,23,9,35,23,5,3,13,24,home,loss,103.0,ORLANDO MAGIC,122.0
MIAMI HEAT,240,36,86,11,35,16,18,10,28,25,11,5,19,16,away,loss,99.0,BOSTON CELTICS,107.0
BOSTON CELTICS,240,43,87,12,30,9,10,8,28,26,13,7,19,21,home,win,107.0,MIAMI HEAT,99.0
SACRAMENTO KINGS,240,39,93,10,25,6,11,10,27,26,8,4,14,20,away,loss,94.0,BROOKLYN NETS,123.0
BROOKLYN NETS,240,45,90,13,35,20,24,12,44,25,9,4,16,15,home,win,123.0,SACRAMENTO KINGS,94.0
CHICAGO BULLS,240,36,76,15,30,17,22,8,42,24,8,2,18,26,away,win,104.0,CLEVELAND CAVALIERS,88.0
CLEVELAND CAVALIERS,240,31,87,6,27,20,29,11,27,16,8,4,14,18,home,loss,88.0,CHICAGO BULLS,104.0
GOLDEN STATE WARRIORS,240,50,98,16,37,14,19,13,37,41,8,6,10,27,away,win,130.0,LOS ANGELES LAKERS,111.0
LOS ANGELES LAKERS,240,42,84,5,20,22,38,7,35,20,1,4,14,19,home,loss,111.0,GOLDEN STATE WARRIORS,130.0
NEW ORLEANS PELICANS,240,39,74,9,26,18,26,7,43,19,8,7,19,17,away,win,105.0,MEMPHIS GRIZZLIES,85.0
MEMPHIS GRIZZLIES,240,33,88,9,35,10,17,10,25,21,10,1,11,19,home,loss,85.0,NEW ORLEANS PELICANS,105.0
DALLAS MAVERICKS,240,41,99,14,40,10,17,11,37,24,7,11,11,19,away,loss,106.0,MILWAUKEE BUCKS,116.0
MILWAUKEE BUCKS,240,42,91,12,32,20,22,8,43,21,9,7,14,19,home,win,116.0,DALLAS MAVERICKS,106.0
OKLAHOMA CITY THUNDER,240,45,83,15,29,22,27,10,39,26,7,2,18,31,away,win,127.0,NEW YORK KNICKS,109.0
NEW YORK KNICKS,240,39,87,7,23,24,32,11,25,25,8,3,12,23,home,loss,109.0,OKLAHOMA CITY THUNDER,127.0
HOUSTON ROCKETS,240,31,86,11,42,20,26,6,32,14,9,6,12,25,away,loss,93.0,PHILADELPHIA 76ERS,121.0
PHILADELPHIA 76ERS,240,43,88,8,23,27,33,10,45,21,9,14,13,22,home,win,121.0,HOUSTON ROCKETS,93.0
PORTLAND TRAIL BLAZERS,240,45,90,8,18,11,15,7,37,30,6,9,8,22,away,win,109.0,UTAH JAZZ,104.0
UTAH JAZZ,240,36,91,7,33,25,31,13,35,21,5,8,15,19,home,loss,104.0,PORTLAND TRAIL BLAZERS,109.0
DETROIT PISTONS,240,31,77,11,34,14,18,2,38,22,5,3,17,21,away,loss,87.0,WASHINGTON WIZARDS,101.0
WASHINGTON WIZARDS,240,36,79,8,23,21,27,5,40,24,7,6,13,18,home,win,101.0,DETROIT PISTONS,87.0
