team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,48,95,11,34,13,23,8,39,31,9,2,10,24,away,loss,120.0,BOSTON CELTICS,126.0
BOSTON CELTICS,240,49,97,9,28,19,26,10,42,32,7,2,13,20,home,win,126.0,SACRAMENTO KINGS,120.0
DALLAS MAVERICKS,240,37,87,12,37,13,17,9,31,22,8,1,8,17,away,loss,99.0,DENVER NUGGETS,100.0
DENVER NUGGETS,240,39,81,8,29,14,17,8,36,27,6,7,11,16,home,win,100.0,DALLAS MAVERICKS,99.0
OKLAHOMA CITY THUNDER,240,38,86,14,30,16,20,8,36,24,11,5,17,28,away,loss,106.0,INDIANA PACERS,108.0
INDIANA PACERS,240,37,82,7,22,27,32,6,33,24,11,3,16,17,home,win,108.0,OKLAHOMA CITY THUNDER,106.0
CLEVELAND CAVALIERS,240,35,86,7,31,14,15,8,35,13,4,4,15,18,away,loss,91.0,ORLANDO MAGIC,120.0
ORLANDO MAGIC,240,45,93,14,31,16,21,12,38,31,11,3,9,14,home,win,120.0,CLEVELAND CAVALIERS,91.0
LOS ANGELES LAKERS,240,38,85,7,31,15,24,6,40,24,11,3,20,21,away,loss,98.0,TORONTO RAPTORS,111.0
TORONTO RAPTORS,240,36,91,16,41,23,29,13,39,21,15,6,17,20,home,win,111.0,LOS ANGELES LAKERS,98.0
MINNESOTA TIMBERWOLVES,240,42,91,5,24,11,15,8,30,27,6,2,11,23,away,loss,100.0,UTAH JAZZ,120.0
UTAH JAZZ,240,44,89,13,38,19,27,13,36,30,7,8,11,20,home,win,120.0,MINNESOTA TIMBERWOLVES,100.0
