team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DALLAS MAVERICKS,240,36,88,7,25,10,14,11,33,18,2,5,10,21,away,loss,89.0,DETROIT PISTONS,93.0
DETROIT PISTONS,240,33,86,9,33,18,23,15,37,21,5,5,11,24,home,win,93.0,DALLAS MAVERICKS,89.0
PHILADELPHIA 76ERS,240,41,88,12,37,19,24,16,33,30,11,5,19,19,away,win,113.0,GOLDEN STATE WARRIORS,104.0
GOLDEN STATE WARRIORS,240,41,88,11,38,11,16,9,28,30,13,7,15,19,home,loss,104.0,PHILADELPHIA 76ERS,113.0
LOS ANGELES LAKERS,265,42,92,11,26,28,35,7,49,28,7,4,16,24,away,win,123.0,LOS ANGELES CLIPPERS,120.0
LOS ANGELES CLIPPERS,265,46,104,14,43,14,26,12,39,26,11,8,8,27,home,loss,120.0,LOS ANGELES LAKERS,123.0
INDIANA PACERS,240,41,91,4,19,14,16,6,36,26,8,2,9,18,away,loss,100.0,ORLANDO MAGIC,107.0
ORLANDO MAGIC,240,38,82,11,25,20,22,9,39,25,4,5,15,19,home,win,107.0,INDIANA PACERS,100.0
BROOKLYN NETS,240,42,89,11,34,19,29,5,41,30,5,7,14,23,away,loss,114.0,SAN ANTONIO SPURS,117.0
SAN ANTONIO SPURS,240,40,100,12,33,25,29,13,37,23,6,3,9,21,home,win,117.0,BROOKLYN NETS,114.0
MILWAUKEE BUCKS,240,39,79,14,38,13,17,7,43,21,13,6,18,16,away,win,105.0,TORONTO RAPTORS,92.0
TORONTO RAPTORS,240,37,93,7,27,11,13,8,31,16,9,4,16,20,home,loss,92.0,MILWAUKEE BUCKS,105.0
