team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
LOS ANGELES CLIPPERS,240,42,82,6,26,20,23,7,36,24,6,6,11,16,away,win,110.0,CLEVELAND CAVALIERS,108.0
CLEVELAND CAVALIERS,240,43,90,12,31,10,13,8,33,14,7,2,13,22,home,loss,108.0,LOS ANGELES CLIPPERS,110.0
SAN ANTONIO SPURS,240,41,90,7,24,16,17,9,39,27,6,7,11,23,away,loss,105.0,HOUSTON ROCKETS,111.0
HOUSTON ROCKETS,240,36,86,14,37,25,32,8,40,12,5,4,9,19,home,win,111.0,SAN ANTONIO SPURS,105.0
BROOKLYN NETS,240,37,92,16,42,21,28,11,36,21,8,4,13,25,away,win,111.0,LOS ANGELES LAKERS,106.0
LOS ANGELES LAKERS,240,37,96,9,36,23,32,19,40,21,8,9,16,26,home,loss,106.0,BROOKLYN NETS,111.0
MIAMI HEAT,240,32,85,11,37,12,23,10,30,20,7,6,9,18,away,loss,87.0,MILWAUKEE BUCKS,116.0
MILWAUKEE BUCKS,240,43,85,17,34,13,20,9,43,33,5,5,14,23,home,win,116.0,MIAMI HEAT,87.0
DENVER NUGGETS,240,40,96,15,38,16,19,17,45,24,5,5,8,15,away,win,111.0,NEW YORK KNICKS,93.0
NEW YORK KNICKS,240,34,90,9,32,16,21,8,37,20,3,5,7,15,home,loss,93.0,DENVER NUGGETS,111.0
MEMPHIS GRIZZLIES,265,47,93,15,38,10,21,10,42,28,5,6,13,24,away,loss,119.0,ORLANDO MAGIC,123.0
ORLANDO MAGIC,265,44,93,14,39,21,27,4,40,30,6,5,8,16,home,win,123.0,MEMPHIS GRIZZLIES,119.0
OKLAHOMA CITY THUNDER,240,42,94,20,43,12,14,12,27,30,9,6,12,21,away,win,116.0,TORONTO RAPTORS,109.0
TORONTO RAPTORS,240,39,78,13,25,18,21,11,35,20,7,7,21,24,home,loss,109.0,OKLAHOMA CITY THUNDER,116.0
