team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,42,91,13,40,17,21,7,36,31,11,7,16,29,away,win,114.0,ATLANTA HAWKS,96.0
ATLANTA HAWKS,240,35,81,6,35,20,29,5,35,22,9,7,20,26,home,loss,96.0,BOSTON CELTICS,114.0
MINNESOTA TIMBERWOLVES,240,44,92,9,25,15,17,9,29,25,15,4,7,20,away,win,112.0,BROOKLYN NETS,102.0
BROOKLYN NETS,240,33,79,14,45,22,26,9,37,26,2,4,18,22,home,loss,102.0,MINNESOTA TIMBERWOLVES,112.0
MIAMI HEAT,240,37,87,10,34,19,31,10,38,20,10,11,14,21,away,win,103.0,CHICAGO BULLS,96.0
CHICAGO BULLS,240,35,94,7,28,19,20,11,40,23,8,6,17,23,home,loss,96.0,MIAMI HEAT,103.0
ORLANDO MAGIC,240,32,79,8,32,15,19,4,33,24,7,2,13,19,away,loss,87.0,DENVER NUGGETS,112.0
DENVER NUGGETS,240,44,93,9,28,15,17,12,39,33,10,5,11,20,home,win,112.0,ORLANDO MAGIC,87.0
HOUSTON ROCKETS,265,41,98,10,36,19,21,17,27,22,6,7,14,26,away,loss,111.0,DETROIT PISTONS,116.0
DETROIT PISTONS,265,40,88,7,27,29,40,14,35,18,11,5,13,18,home,win,116.0,HOUSTON ROCKETS,111.0
PORTLAND TRAIL BLAZERS,240,38,93,9,24,12,22,12,27,22,9,2,13,16,away,loss,97.0,GOLDEN STATE WARRIORS,125.0
GOLDEN STATE WARRIORS,240,48,85,17,32,12,16,6,37,29,11,10,15,22,home,win,125.0,PORTLAND TRAIL BLAZERS,97.0
SAN ANTONIO SPURS,240,42,83,10,21,17,24,9,37,28,3,4,15,19,away,win,111.0,INDIANA PACERS,100.0
INDIANA PACERS,240,46,99,3,24,5,9,11,34,31,9,2,12,22,home,loss,100.0,SAN ANTONIO SPURS,111.0
MEMPHIS GRIZZLIES,265,42,92,9,27,14,18,6,41,29,6,7,16,29,away,loss,107.0,LOS ANGELES CLIPPERS,112.0
LOS ANGELES CLIPPERS,265,40,94,8,23,24,27,8,40,26,6,5,11,23,home,win,112.0,MEMPHIS GRIZZLIES,107.0
UTAH JAZZ,240,33,85,4,23,13,17,7,34,22,12,3,19,21,away,loss,83.0,LOS ANGELES LAKERS,90.0
LOS ANGELES LAKERS,240,36,79,7,23,11,18,5,42,10,11,5,23,20,home,win,90.0,UTAH JAZZ,83.0
PHOENIX SUNS,240,45,90,9,26,17,22,6,34,21,8,4,11,25,away,win,116.0,MILWAUKEE BUCKS,114.0
MILWAUKEE BUCKS,240,42,87,10,44,20,30,7,36,30,6,7,14,17,home,loss,114.0,PHOENIX SUNS,116.0
NEW ORLEANS PELICANS,240,40,101,7,28,22,29,20,35,26,5,5,14,22,away,loss,109.0,NEW YORK KNICKS,114.0
NEW YORK KNICKS,240,41,91,12,33,20,27,12,34,22,9,10,8,26,home,win,114.0,NEW ORLEANS PELICANS,109.0
CHARLOTTE HORNETS,240,43,94,6,31,12,14,11,35,24,8,5,13,21,away,loss,104.0,OKLAHOMA CITY THUNDER,109.0
OKLAHOMA CITY THUNDER,240,41,93,11,33,16,24,11,35,24,6,2,14,18,home,win,109.0,CHARLOTTE HORNETS,104.0
CLEVELAND CAVALIERS,240,49,93,11,22,12,16,14,28,16,7,1,8,25,away,win,121.0,PHILADELPHIA 76ERS,112.0
PHILADELPHIA 76ERS,240,40,75,12,33,20,26,4,27,27,5,2,10,20,home,loss,112.0,CLEVELAND CAVALIERS,121.0
WASHINGTON WIZARDS,240,40,100,9,46,18,19,14,30,28,8,7,12,16,away,loss,107.0,TORONTO RAPTORS,125.0
TORONTO RAPTORS,240,46,93,17,39,16,19,13,37,32,5,6,15,23,home,win,125.0,WASHINGTON WIZARDS,107.0
