team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SEATTLE SUPERSONICS,240,34,81,3,10,13,17,13,35,21,7,6,18,16,away,loss,84.0,CHICAGO BULLS,99.0
CHICAGO BULLS,240,39,92,9,25,12,16,15,30,30,13,7,10,18,home,win,99.0,SEATTLE SUPERSONICS,84.0
CHARLOTTE BOBCATS,240,41,88,6,14,13,20,14,25,32,6,3,12,24,away,loss,101.0,CLEVELAND CAVALIERS,104.0
CLEVELAND CAVALIERS,240,36,75,5,11,27,35,12,29,23,9,3,16,17,home,win,104.0,CHARLOTTE BOBCATS,101.0
LOS ANGELES LAKERS,240,32,73,6,20,31,41,12,19,14,9,1,14,27,away,loss,101.0,DALLAS MAVERICKS,110.0
DALLAS MAVERICKS,240,39,65,4,11,28,33,7,32,23,8,7,19,28,home,win,110.0,LOS ANGELES LAKERS,101.0
DETROIT PISTONS,240,30,77,6,16,24,27,13,27,14,5,6,10,22,away,loss,90.0,INDIANA PACERS,101.0
INDIANA PACERS,240,37,78,5,15,22,24,10,31,18,4,6,10,21,home,win,101.0,DETROIT PISTONS,90.0
UTAH JAZZ,240,41,80,7,13,16,23,10,28,30,6,3,13,26,away,win,105.0,LOS ANGELES CLIPPERS,86.0
LOS ANGELES CLIPPERS,240,27,67,3,13,29,40,12,23,21,7,4,14,20,home,loss,86.0,UTAH JAZZ,105.0
PORTLAND TRAIL BLAZERS,240,31,65,4,12,19,25,11,30,17,6,10,18,22,away,win,85.0,MEMPHIS GRIZZLIES,79.0
MEMPHIS GRIZZLIES,240,32,74,7,19,8,12,9,22,18,4,3,16,25,home,loss,79.0,PORTLAND TRAIL BLAZERS,85.0
PHOENIX SUNS,240,34,71,10,26,21,25,8,38,22,6,5,15,21,away,win,99.0,MIAMI HEAT,89.0
MIAMI HEAT,240,33,83,4,19,19,25,13,28,16,6,3,9,21,home,loss,89.0,PHOENIX SUNS,99.0
MILWAUKEE BUCKS,240,34,72,5,15,22,34,15,19,26,10,4,18,24,away,loss,95.0,NEW JERSEY NETS,108.0
NEW JERSEY NETS,240,38,77,10,22,22,30,15,25,31,11,2,16,23,home,win,108.0,MILWAUKEE BUCKS,95.0
ATLANTA HAWKS,240,26,69,5,15,25,31,11,21,16,5,5,15,25,away,loss,82.0,NEW YORK KNICKS,94.0
NEW YORK KNICKS,240,33,74,5,19,23,34,15,33,16,11,3,13,23,home,win,94.0,ATLANTA HAWKS,82.0
TORONTO RAPTORS,240,31,66,7,17,22,26,7,32,14,7,8,14,23,away,win,91.0,ORLANDO MAGIC,84.0
ORLANDO MAGIC,240,32,85,2,12,18,23,20,23,10,7,0,14,21,home,loss,84.0,TORONTO RAPTORS,91.0
BOSTON CELTICS,240,37,71,6,16,21,34,6,36,25,8,5,12,25,away,win,101.0,PHILADELPHIA 76ERS,81.0
PHILADELPHIA 76ERS,240,29,73,0,5,23,34,10,36,13,8,4,15,24,home,loss,81.0,BOSTON CELTICS,101.0
MINNESOTA TIMBERWOLVES,240,33,70,1,11,15,20,11,28,18,5,3,21,14,away,loss,82.0,SAN ANTONIO SPURS,95.0
SAN ANTONIO SPURS,240,36,73,8,15,15,18,6,26,18,13,3,14,16,home,win,95.0,MINNESOTA TIMBERWOLVES,82.0
DENVER NUGGETS,240,37,82,1,10,16,20,10,28,21,6,3,20,25,away,loss,91.0,WASHINGTON WIZARDS,120.0
WASHINGTON WIZARDS,240,44,88,9,28,23,26,11,28,26,8,4,12,20,home,win,120.0,DENVER NUGGETS,91.0
