team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
BOSTON CELTICS,240,34,75,9,17,19,23,12,26,16,7,6,20,23,away,loss,96.0,ATLANTA HAWKS,100.0
ATLANTA HAWKS,240,39,79,3,11,19,25,15,24,23,11,9,16,18,home,win,100.0,BOSTON CELTICS,96.0
MILWAUKEE BUCKS,240,38,81,6,17,17,25,17,27,21,5,4,11,21,away,win,99.0,CHARLOTTE BOBCATS,91.0
CHARLOTTE BOBCATS,240,32,81,5,21,22,28,21,25,20,7,6,13,21,home,loss,91.0,MILWAUKEE BUCKS,99.0
SAN ANTONIO SPURS,240,34,86,6,23,13,19,15,28,18,7,4,14,22,away,loss,87.0,CHICAGO BULLS,99.0
CHICAGO BULLS,240,41,83,5,16,12,16,11,34,18,4,7,13,23,home,win,99.0,SAN ANTONIO SPURS,87.0
MINNESOTA TIMBERWOLVES,265,37,83,5,8,15,18,16,32,19,9,5,17,17,away,win,94.0,DETROIT PISTONS,90.0
DETROIT PISTONS,265,38,89,3,14,11,14,12,25,26,11,5,13,22,home,loss,90.0,MINNESOTA TIMBERWOLVES,94.0
LOS ANGELES CLIPPERS,240,39,92,2,9,13,21,16,39,27,6,6,19,22,away,loss,93.0,GOLDEN STATE WARRIORS,108.0
GOLDEN STATE WARRIORS,240,39,92,5,21,25,37,20,34,24,13,4,15,23,home,win,108.0,LOS ANGELES CLIPPERS,93.0
MIAMI HEAT,265,43,87,9,26,23,31,11,35,32,7,7,11,24,away,loss,118.0,LOS ANGELES LAKERS,124.0
LOS ANGELES LAKERS,265,48,99,14,25,14,20,13,32,34,2,7,11,22,home,win,124.0,MIAMI HEAT,118.0
PHOENIX SUNS,240,50,90,14,34,23,28,10,28,36,9,2,13,17,away,win,137.0,MEMPHIS GRIZZLIES,122.0
MEMPHIS GRIZZLIES,240,49,84,9,24,15,17,5,27,29,8,3,20,20,home,loss,122.0,PHOENIX SUNS,137.0
INDIANA PACERS,240,31,77,7,22,26,36,12,32,22,4,6,15,21,away,loss,95.0,NEW JERSEY NETS,105.0
NEW JERSEY NETS,240,40,84,12,23,13,22,12,29,29,6,3,9,26,home,win,105.0,INDIANA PACERS,95.0
SACRAMENTO KINGS,240,36,78,6,20,19,28,12,23,17,13,2,16,22,away,loss,97.0,NEW YORK KNICKS,102.0
NEW YORK KNICKS,240,36,75,6,19,24,31,10,34,24,11,4,18,21,home,win,102.0,SACRAMENTO KINGS,97.0
TORONTO RAPTORS,240,39,72,7,20,19,24,7,31,23,9,2,16,21,away,win,104.0,PHILADELPHIA 76ERS,86.0
PHILADELPHIA 76ERS,240,35,74,3,9,13,18,7,27,23,9,2,20,21,home,loss,86.0,TORONTO RAPTORS,104.0
UTAH JAZZ,240,39,86,6,19,27,31,17,29,26,6,2,11,29,away,loss,111.0,WASHINGTON WIZARDS,114.0
WASHINGTON WIZARDS,240,34,75,9,19,37,40,14,25,18,7,4,13,27,home,win,114.0,UTAH JAZZ,111.0
