team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW JERSEY NETS,240,35,76,7,16,10,20,12,29,20,2,2,16,22,away,win,87.0,ATLANTA HAWKS,85.0
ATLANTA HAWKS,240,28,76,2,13,27,31,18,28,17,7,6,13,23,home,loss,85.0,NEW JERSEY NETS,87.0
MIAMI HEAT,240,34,66,6,17,17,23,2,40,21,5,9,16,15,away,win,91.0,BOSTON CELTICS,79.0
BOSTON CELTICS,240,31,97,7,19,10,12,18,30,22,4,4,11,22,home,loss,79.0,MIAMI HEAT,91.0
LOS ANGELES CLIPPERS,240,28,81,2,8,19,24,11,31,17,5,5,10,22,away,loss,77.0,CLEVELAND CAVALIERS,94.0
CLEVELAND CAVALIERS,240,34,83,5,20,21,28,19,35,19,7,8,11,22,home,win,94.0,LOS ANGELES CLIPPERS,77.0
MEMPHIS GRIZZLIES,240,38,78,6,17,15,26,17,30,22,2,7,22,22,away,loss,97.0,DALLAS MAVERICKS,113.0
DALLAS MAVERICKS,240,41,88,8,15,23,30,15,22,30,14,10,8,27,home,win,113.0,MEMPHIS GRIZZLIES,97.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,265,46,106,6,14,16,25,21,36,18,7,5,12,21,away,win,114.0,DENVER NUGGETS,112.0
DENVER NUGGETS,265,44,98,5,22,19,27,14,32,28,8,8,13,23,home,loss,112.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,114.0
SEATTLE SUPERSONICS,240,42,76,4,13,15,20,9,26,27,6,5,20,16,away,win,103.0,INDIANA PACERS,102.0
INDIANA PACERS,240,38,96,13,28,13,18,26,27,19,8,2,17,22,home,loss,102.0,SEATTLE SUPERSONICS,103.0
GOLDEN STATE WARRIORS,240,37,100,6,26,13,16,14,28,24,10,8,12,16,away,loss,93.0,MINNESOTA TIMBERWOLVES,121.0
MINNESOTA TIMBERWOLVES,240,46,91,8,16,21,26,12,49,38,7,7,20,18,home,win,121.0,GOLDEN STATE WARRIORS,93.0
CHARLOTTE BOBCATS,240,31,88,3,11,18,22,13,32,20,10,5,16,28,away,loss,83.0,PHILADELPHIA 76ERS,92.0
PHILADELPHIA 76ERS,240,33,74,3,9,23,33,9,42,18,5,9,16,22,home,win,92.0,CHARLOTTE BOBCATS,83.0
ORLANDO MAGIC,240,41,81,9,24,12,15,11,28,23,1,3,17,32,away,loss,103.0,TORONTO RAPTORS,113.0
TORONTO RAPTORS,240,39,75,5,17,30,38,9,28,31,7,4,9,15,home,win,113.0,ORLANDO MAGIC,103.0
SAN ANTONIO SPURS,240,42,78,10,22,16,19,12,34,29,6,8,14,19,away,win,110.0,WASHINGTON WIZARDS,83.0
WASHINGTON WIZARDS,240,29,89,1,10,24,28,23,24,11,9,3,11,18,home,loss,83.0,SAN ANTONIO SPURS,110.0
