team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHICAGO BULLS,240,40,85,4,12,21,26,12,27,18,8,9,12,21,away,win,105.0,ATLANTA HAWKS,97.0
ATLANTA HAWKS,240,36,78,3,8,22,26,12,29,16,5,11,18,23,home,loss,97.0,CHICAGO BULLS,105.0
CLEVELAND CAVALIERS,240,36,84,0,8,24,25,8,30,25,8,4,12,23,away,loss,96.0,BOSTON CELTICS,98.0
BOSTON CELTICS,240,37,77,2,6,22,27,8,32,22,8,7,17,18,home,win,98.0,CLEVELAND CAVALIERS,96.0
MIAMI HEAT,240,33,70,6,15,16,30,11,27,20,5,0,15,20,away,loss,88.0,DETROIT PISTONS,94.0
DETROIT PISTONS,240,35,78,5,16,19,22,11,23,19,6,5,11,24,home,win,94.0,MIAMI HEAT,88.0
MEMPHIS GRIZZLIES,240,37,76,7,16,36,45,10,33,22,9,3,19,20,away,loss,117.0,GOLDEN STATE WARRIORS,122.0
GOLDEN STATE WARRIORS,240,46,89,16,36,14,21,9,32,39,8,12,11,26,home,win,122.0,MEMPHIS GRIZZLIES,117.0
UTAH JAZZ,240,30,79,2,7,24,33,8,36,23,3,1,8,23,away,win,86.0,HOUSTON ROCKETS,83.0
HOUSTON ROCKETS,240,31,80,5,17,16,23,12,33,18,1,7,8,24,home,loss,83.0,UTAH JAZZ,86.0
SAN ANTONIO SPURS,240,35,74,7,24,22,33,12,27,16,9,5,14,18,away,loss,99.0,INDIANA PACERS,100.0
INDIANA PACERS,240,37,80,6,14,20,22,14,28,21,10,5,14,21,home,win,100.0,SAN ANTONIO SPURS,99.0
SACRAMENTO KINGS,240,38,86,6,19,21,23,9,25,22,9,3,13,22,away,loss,103.0,LOS ANGELES LAKERS,126.0
LOS ANGELES LAKERS,240,50,81,9,22,17,22,7,34,34,8,6,14,21,home,win,126.0,SACRAMENTO KINGS,103.0
WASHINGTON WIZARDS,240,44,81,9,17,24,32,9,31,32,9,3,12,19,away,win,121.0,MILWAUKEE BUCKS,107.0
MILWAUKEE BUCKS,240,41,81,9,22,16,20,11,26,27,6,1,18,27,home,loss,107.0,WASHINGTON WIZARDS,121.0
MINNESOTA TIMBERWOLVES,265,37,80,8,16,23,28,9,29,21,5,5,12,25,away,win,105.0,ORLANDO MAGIC,104.0
ORLANDO MAGIC,265,41,87,1,11,21,31,18,32,18,7,6,15,22,home,loss,104.0,MINNESOTA TIMBERWOLVES,105.0
DALLAS MAVERICKS,240,36,79,9,18,23,24,13,17,17,3,0,9,24,away,loss,104.0,PHOENIX SUNS,126.0
PHOENIX SUNS,240,46,71,12,21,22,23,3,28,25,6,4,10,19,home,win,126.0,DALLAS MAVERICKS,104.0
DENVER NUGGETS,240,41,74,7,20,25,36,13,28,23,10,3,17,22,away,win,114.0,SEATTLE SUPERSONICS,103.0
SEATTLE SUPERSONICS,240,36,78,12,30,19,25,9,17,19,11,4,16,27,home,loss,103.0,DENVER NUGGETS,114.0
CHARLOTTE BOBCATS,240,37,82,5,18,15,21,7,27,21,5,2,13,22,away,loss,94.0,TORONTO RAPTORS,107.0
TORONTO RAPTORS,240,39,85,3,12,26,29,17,31,28,7,6,10,23,home,win,107.0,CHARLOTTE BOBCATS,94.0
