team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MEMPHIS GRIZZLIES,240,43,86,5,14,14,18,14,31,22,6,8,16,27,away,loss,105.0,ATLANTA HAWKS,106.0
ATLANTA HAWKS,240,40,84,3,9,23,30,13,26,20,8,5,15,21,home,win,106.0,MEMPHIS GRIZZLIES,105.0
SEATTLE SUPERSONICS,240,40,83,8,21,15,19,15,22,16,10,1,15,21,away,loss,103.0,BOSTON CELTICS,118.0
BOSTON CELTICS,240,45,76,7,21,21,29,12,25,25,5,5,15,21,home,win,118.0,SEATTLE SUPERSONICS,103.0
DETROIT PISTONS,240,35,82,6,17,19,24,9,34,26,9,4,13,23,away,win,95.0,DENVER NUGGETS,82.0
DENVER NUGGETS,240,29,77,6,19,18,27,10,34,18,7,5,19,21,home,loss,82.0,DETROIT PISTONS,95.0
LOS ANGELES CLIPPERS,240,29,71,6,16,25,29,7,28,21,13,1,17,21,away,loss,89.0,GOLDEN STATE WARRIORS,99.0
GOLDEN STATE WARRIORS,240,37,82,5,16,20,26,17,31,17,5,6,18,26,home,win,99.0,LOS ANGELES CLIPPERS,89.0
NEW JERSEY NETS,240,32,82,7,24,20,26,7,31,20,4,1,13,27,away,loss,91.0,HOUSTON ROCKETS,112.0
HOUSTON ROCKETS,240,36,78,10,27,30,41,10,37,21,6,1,10,22,home,win,112.0,NEW JERSEY NETS,91.0
MINNESOTA TIMBERWOLVES,240,36,77,3,12,16,19,7,21,17,7,3,13,20,away,loss,91.0,MIAMI HEAT,105.0
MIAMI HEAT,240,42,72,6,19,15,25,9,31,16,5,2,18,21,home,win,105.0,MINNESOTA TIMBERWOLVES,91.0
LOS ANGELES LAKERS,240,35,79,11,24,11,14,9,29,20,4,6,15,26,away,loss,92.0,PHILADELPHIA 76ERS,108.0
PHILADELPHIA 76ERS,240,36,76,7,10,29,37,11,32,20,5,3,7,15,home,win,108.0,LOS ANGELES LAKERS,92.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,41,85,9,25,12,13,10,35,20,5,3,10,13,away,loss,103.0,PHOENIX SUNS,104.0
PHOENIX SUNS,240,40,86,14,35,10,15,11,31,25,6,5,10,14,home,win,104.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,103.0
