team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,240,35,81,5,13,18,23,14,24,21,5,6,10,20,away,loss,93.0,ATLANTA HAWKS,99.0
ATLANTA HAWKS,240,37,74,9,19,16,22,14,28,26,8,7,14,20,home,win,99.0,DETROIT PISTONS,93.0
TORONTO RAPTORS,240,32,71,5,11,26,32,5,32,19,8,6,13,17,away,win,95.0,BOSTON CELTICS,86.0
BOSTON CELTICS,240,31,77,6,18,18,27,12,32,18,10,2,21,26,home,loss,86.0,TORONTO RAPTORS,95.0
HOUSTON ROCKETS,240,32,75,10,25,16,28,4,37,24,8,4,9,16,away,win,90.0,DENVER NUGGETS,86.0
DENVER NUGGETS,240,32,92,9,28,13,17,13,38,17,5,5,13,20,home,loss,86.0,HOUSTON ROCKETS,90.0
MIAMI HEAT,240,45,85,13,30,15,19,12,44,36,8,9,19,25,away,win,118.0,GOLDEN STATE WARRIORS,96.0
GOLDEN STATE WARRIORS,240,36,86,6,22,18,33,12,28,22,10,3,13,18,home,loss,96.0,MIAMI HEAT,118.0
DALLAS MAVERICKS,265,37,88,6,20,35,45,16,31,16,7,7,9,32,away,win,115.0,INDIANA PACERS,113.0
INDIANA PACERS,265,36,82,5,11,36,46,18,30,20,7,6,14,35,home,loss,113.0,DALLAS MAVERICKS,115.0
ORLANDO MAGIC,240,38,75,5,12,25,39,10,28,27,5,7,12,29,away,loss,106.0,LOS ANGELES LAKERS,109.0
LOS ANGELES LAKERS,240,38,77,7,18,26,35,9,32,26,6,10,9,27,home,win,109.0,ORLANDO MAGIC,106.0
MINNESOTA TIMBERWOLVES,240,42,81,6,10,26,27,13,28,23,4,6,14,30,away,win,116.0,MEMPHIS GRIZZLIES,110.0
MEMPHIS GRIZZLIES,240,40,78,4,11,26,31,7,25,28,7,3,9,24,home,loss,110.0,MINNESOTA TIMBERWOLVES,116.0
WASHINGTON WIZARDS,240,37,79,7,22,16,18,11,20,18,13,2,16,20,away,loss,97.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,104.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,42,77,8,16,12,14,12,25,23,5,2,21,19,home,win,104.0,WASHINGTON WIZARDS,97.0
CHARLOTTE BOBCATS,240,48,81,10,18,20,27,3,26,30,8,10,10,25,away,win,126.0,NEW YORK KNICKS,110.0
NEW YORK KNICKS,240,40,85,7,14,23,32,17,27,22,8,2,16,19,home,loss,110.0,CHARLOTTE BOBCATS,126.0
MILWAUKEE BUCKS,240,42,88,4,16,9,12,16,29,23,5,5,15,20,away,loss,97.0,PHILADELPHIA 76ERS,110.0
PHILADELPHIA 76ERS,240,39,79,7,15,25,30,10,26,28,8,5,10,16,home,win,110.0,MILWAUKEE BUCKS,97.0
SACRAMENTO KINGS,240,33,68,5,10,16,25,6,29,20,4,2,21,22,away,loss,87.0,PORTLAND TRAIL BLAZERS,95.0
PORTLAND TRAIL BLAZERS,240,38,77,6,17,13,23,12,26,23,10,6,19,32,home,win,95.0,SACRAMENTO KINGS,87.0
UTAH JAZZ,265,42,85,2,12,28,37,11,31,26,10,4,16,31,away,loss,114.0,SEATTLE SUPERSONICS,122.0
SEATTLE SUPERSONICS,265,38,85,9,19,37,41,12,30,24,9,7,13,28,home,win,122.0,UTAH JAZZ,114.0
