team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHOENIX SUNS,240,43,71,9,20,21,24,4,36,32,6,6,19,18,away,win,116.0,BOSTON CELTICS,111.0
BOSTON CELTICS,240,42,98,9,23,18,24,17,21,24,8,2,11,23,home,loss,111.0,PHOENIX SUNS,116.0
HOUSTON ROCKETS,240,37,84,4,16,14,16,10,41,17,8,4,14,23,away,win,92.0,CHARLOTTE BOBCATS,62.0
CHARLOTTE BOBCATS,240,23,81,2,11,14,19,14,32,13,8,4,20,20,home,loss,62.0,HOUSTON ROCKETS,92.0
TORONTO RAPTORS,240,35,81,8,21,12,16,7,34,23,8,3,14,21,away,loss,90.0,CHICAGO BULLS,93.0
CHICAGO BULLS,240,35,74,5,18,18,27,6,37,22,10,12,16,16,home,win,93.0,TORONTO RAPTORS,90.0
MIAMI HEAT,240,41,90,4,16,21,28,16,23,25,5,6,13,23,away,loss,107.0,DENVER NUGGETS,123.0
DENVER NUGGETS,240,46,85,9,17,22,29,10,29,33,5,9,13,28,home,win,123.0,MIAMI HEAT,107.0
PORTLAND TRAIL BLAZERS,240,34,76,3,9,24,33,11,24,16,11,8,16,29,away,loss,95.0,INDIANA PACERS,108.0
INDIANA PACERS,240,37,75,8,22,26,37,13,26,19,12,9,16,24,home,win,108.0,PORTLAND TRAIL BLAZERS,95.0
ATLANTA HAWKS,240,36,83,5,14,18,23,14,21,16,11,5,15,22,away,loss,95.0,LOS ANGELES LAKERS,106.0
LOS ANGELES LAKERS,240,39,70,8,19,20,25,9,33,29,6,4,19,17,home,win,106.0,ATLANTA HAWKS,95.0
MEMPHIS GRIZZLIES,240,34,71,5,15,21,27,14,26,19,2,3,19,18,away,loss,94.0,MILWAUKEE BUCKS,100.0
MILWAUKEE BUCKS,240,41,77,5,20,13,20,10,23,23,8,1,14,26,home,win,100.0,MEMPHIS GRIZZLIES,94.0
UTAH JAZZ,240,38,77,4,16,23,31,14,26,22,4,2,16,21,away,loss,103.0,MINNESOTA TIMBERWOLVES,110.0
MINNESOTA TIMBERWOLVES,240,42,82,6,13,20,22,10,26,19,8,6,13,24,home,win,110.0,UTAH JAZZ,103.0
DETROIT PISTONS,240,34,72,6,12,13,20,9,29,16,6,4,13,24,away,win,87.0,ORLANDO MAGIC,83.0
ORLANDO MAGIC,240,29,65,3,13,22,34,7,27,18,8,4,13,19,home,loss,83.0,DETROIT PISTONS,87.0
WASHINGTON WIZARDS,240,40,80,9,22,24,30,11,27,17,10,4,10,16,away,win,113.0,PHILADELPHIA 76ERS,98.0
PHILADELPHIA 76ERS,240,38,77,6,14,16,19,6,28,27,6,2,15,23,home,loss,98.0,WASHINGTON WIZARDS,113.0
LOS ANGELES CLIPPERS,240,36,81,2,4,8,16,9,26,17,4,4,10,18,away,loss,82.0,SAN ANTONIO SPURS,111.0
SAN ANTONIO SPURS,240,45,85,10,24,11,16,8,36,31,7,4,6,13,home,win,111.0,LOS ANGELES CLIPPERS,82.0
NEW ORLEANS/OKLAHOMA CITY HORNETS,240,28,72,3,13,15,26,11,29,13,5,2,26,21,away,loss,74.0,SEATTLE SUPERSONICS,94.0
SEATTLE SUPERSONICS,240,35,77,3,13,21,27,10,30,23,14,3,18,22,home,win,94.0,NEW ORLEANS/OKLAHOMA CITY HORNETS,74.0
