team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,37,77,7,18,18,25,10,36,18,5,6,14,22,away,win,99.0,CHICAGO BULLS,90.0
CHICAGO BULLS,240,35,83,4,17,16,23,10,24,18,6,7,13,19,home,loss,90.0,INDIANA PACERS,99.0
ATLANTA HAWKS,240,40,90,3,22,11,13,11,26,26,6,8,18,12,away,loss,94.0,CLEVELAND CAVALIERS,127.0
CLEVELAND CAVALIERS,240,49,90,19,31,10,13,12,35,39,12,2,13,14,home,win,127.0,ATLANTA HAWKS,94.0
MINNESOTA TIMBERWOLVES,240,43,86,7,17,24,29,12,29,24,2,2,17,30,away,loss,117.0,DALLAS MAVERICKS,131.0
DALLAS MAVERICKS,240,52,94,8,26,19,23,12,28,31,5,10,7,24,home,win,131.0,MINNESOTA TIMBERWOLVES,117.0
CHARLOTTE HORNETS,240,32,84,7,17,16,28,10,31,14,5,2,12,13,away,loss,87.0,GOLDEN STATE WARRIORS,112.0
GOLDEN STATE WARRIORS,240,45,87,11,26,11,14,11,40,30,7,3,14,25,home,win,112.0,CHARLOTTE HORNETS,87.0
PHOENIX SUNS,240,38,99,11,30,20,23,16,27,26,9,3,10,30,away,loss,107.0,LOS ANGELES CLIPPERS,120.0
LOS ANGELES CLIPPERS,240,36,68,14,29,34,43,4,43,24,5,12,20,26,home,win,120.0,PHOENIX SUNS,107.0
DETROIT PISTONS,240,34,82,10,26,10,17,9,34,15,4,6,9,22,away,loss,88.0,MEMPHIS GRIZZLIES,95.0
MEMPHIS GRIZZLIES,240,32,86,4,15,27,33,18,35,18,5,4,8,18,home,win,95.0,DETROIT PISTONS,88.0
BROOKLYN NETS,240,35,89,1,19,16,17,12,31,15,7,2,9,24,away,loss,87.0,PORTLAND TRAIL BLAZERS,97.0
PORTLAND TRAIL BLAZERS,240,33,78,11,26,20,27,13,34,26,6,3,14,16,home,win,97.0,BROOKLYN NETS,87.0
SAN ANTONIO SPURS,240,34,80,7,24,16,18,7,31,24,6,8,14,25,away,loss,91.0,SACRAMENTO KINGS,94.0
SACRAMENTO KINGS,240,37,86,0,12,20,24,8,34,19,5,6,9,18,home,win,94.0,SAN ANTONIO SPURS,91.0
UTAH JAZZ,240,33,75,5,16,22,30,10,28,22,5,3,11,21,away,loss,93.0,TORONTO RAPTORS,111.0
TORONTO RAPTORS,240,43,84,8,21,17,23,13,29,15,6,5,8,19,home,win,111.0,UTAH JAZZ,93.0
ORLANDO MAGIC,240,37,78,7,17,12,18,9,31,14,5,2,15,21,away,loss,93.0,WASHINGTON WIZARDS,98.0
WASHINGTON WIZARDS,240,42,84,3,10,11,16,9,31,31,5,8,11,16,home,win,98.0,ORLANDO MAGIC,93.0
