team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DALLAS MAVERICKS,240,45,96,13,27,16,17,16,36,24,8,1,11,21,away,win,119.0,BOSTON CELTICS,101.0
BOSTON CELTICS,240,38,89,12,34,13,19,9,29,22,6,2,12,21,home,loss,101.0,DALLAS MAVERICKS,119.0
CLEVELAND CAVALIERS,240,33,87,4,15,21,30,13,33,16,8,5,7,23,away,win,91.0,CHARLOTTE HORNETS,87.0
CHARLOTTE HORNETS,240,32,87,6,28,17,26,15,35,20,5,6,14,24,home,loss,87.0,CLEVELAND CAVALIERS,91.0
TORONTO RAPTORS,240,40,86,10,25,15,20,11,26,23,7,1,15,16,away,loss,105.0,GOLDEN STATE WARRIORS,126.0
GOLDEN STATE WARRIORS,240,49,92,12,28,16,20,14,31,35,8,8,9,18,home,win,126.0,TORONTO RAPTORS,105.0
MEMPHIS GRIZZLIES,240,41,84,6,14,21,31,13,33,27,7,4,12,15,away,win,109.0,LOS ANGELES LAKERS,106.0
LOS ANGELES LAKERS,240,43,81,6,19,14,19,5,33,24,10,8,13,28,home,loss,106.0,MEMPHIS GRIZZLIES,109.0
INDIANA PACERS,240,35,81,8,20,16,20,10,35,24,7,3,15,12,away,win,94.0,MILWAUKEE BUCKS,91.0
MILWAUKEE BUCKS,240,38,89,7,24,8,10,10,33,28,10,7,12,18,home,loss,91.0,INDIANA PACERS,94.0
HOUSTON ROCKETS,240,35,88,6,29,7,11,13,25,22,13,3,19,22,away,loss,83.0,NEW ORLEANS PELICANS,111.0
NEW ORLEANS PELICANS,240,44,83,7,15,16,20,12,37,24,12,8,18,13,home,win,111.0,HOUSTON ROCKETS,83.0
DETROIT PISTONS,240,38,76,13,33,8,14,9,40,24,10,3,16,16,away,win,97.0,NEW YORK KNICKS,81.0
NEW YORK KNICKS,240,32,91,10,24,7,14,17,30,18,13,4,11,15,home,loss,81.0,DETROIT PISTONS,97.0
WASHINGTON WIZARDS,240,39,84,11,21,13,15,8,31,27,3,1,15,19,away,loss,102.0,OKLAHOMA CITY THUNDER,109.0
OKLAHOMA CITY THUNDER,240,44,83,8,19,13,19,6,32,21,8,4,10,20,home,win,109.0,WASHINGTON WIZARDS,102.0
BROOKLYN NETS,240,41,72,7,20,11,18,4,41,26,7,5,22,16,away,win,100.0,ORLANDO MAGIC,98.0
ORLANDO MAGIC,240,37,88,11,22,13,20,8,29,22,13,3,11,18,home,loss,98.0,BROOKLYN NETS,100.0
PHILADELPHIA 76ERS,240,37,87,7,26,15,25,16,25,20,12,7,16,15,away,loss,96.0,PHOENIX SUNS,112.0
PHOENIX SUNS,240,42,84,14,32,14,16,13,35,24,9,12,19,24,home,win,112.0,PHILADELPHIA 76ERS,96.0
ATLANTA HAWKS,240,33,81,6,23,26,30,11,36,24,9,3,10,17,away,win,98.0,UTAH JAZZ,92.0
UTAH JAZZ,240,32,86,10,31,18,24,17,30,18,6,9,14,18,home,loss,92.0,ATLANTA HAWKS,98.0
