team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
LOS ANGELES LAKERS,240,38,92,6,16,14,19,7,31,14,2,4,12,18,away,loss,96.0,BOSTON CELTICS,113.0
BOSTON CELTICS,240,46,90,8,20,13,22,10,44,29,6,2,16,19,home,win,113.0,LOS ANGELES LAKERS,96.0
ATLANTA HAWKS,240,35,81,13,34,15,24,6,40,22,12,4,10,22,away,win,98.0,BROOKLYN NETS,75.0
BROOKLYN NETS,240,30,80,3,18,12,19,9,42,16,4,2,17,21,home,loss,75.0,ATLANTA HAWKS,98.0
NEW YORK KNICKS,240,37,79,10,22,18,22,4,30,23,5,4,6,21,away,loss,102.0,CHARLOTTE HORNETS,103.0
CHARLOTTE HORNETS,240,42,88,4,18,15,18,10,31,19,2,7,7,20,home,win,103.0,NEW YORK KNICKS,102.0
PHOENIX SUNS,240,45,80,13,26,15,17,7,34,27,5,3,13,25,away,win,118.0,DALLAS MAVERICKS,106.0
DALLAS MAVERICKS,240,40,88,4,19,22,30,16,28,13,5,1,11,16,home,loss,106.0,PHOENIX SUNS,118.0
SAN ANTONIO SPURS,240,40,84,14,25,13,16,12,32,25,5,8,14,22,away,win,107.0,MEMPHIS GRIZZLIES,101.0
MEMPHIS GRIZZLIES,240,37,80,5,12,22,26,7,30,19,4,7,10,19,home,loss,101.0,SAN ANTONIO SPURS,107.0
MIAMI HEAT,240,30,68,7,18,18,27,3,17,21,16,3,18,22,away,loss,85.0,MILWAUKEE BUCKS,109.0
MILWAUKEE BUCKS,240,39,69,9,16,22,26,12,33,21,11,3,24,26,home,win,109.0,MIAMI HEAT,85.0
HOUSTON ROCKETS,265,38,78,12,32,26,31,7,35,19,3,3,22,28,away,win,114.0,MINNESOTA TIMBERWOLVES,112.0
MINNESOTA TIMBERWOLVES,265,45,97,3,10,19,27,14,29,23,12,5,14,26,home,loss,112.0,HOUSTON ROCKETS,114.0
OKLAHOMA CITY THUNDER,240,35,71,9,23,24,31,6,34,27,7,8,16,24,away,win,103.0,PHILADELPHIA 76ERS,91.0
PHILADELPHIA 76ERS,240,32,84,8,28,19,30,19,25,25,13,2,17,24,home,loss,91.0,OKLAHOMA CITY THUNDER,103.0
INDIANA PACERS,265,36,96,6,26,23,29,9,34,18,10,5,8,33,away,loss,101.0,SACRAMENTO KINGS,102.0
SACRAMENTO KINGS,265,36,83,2,10,28,40,11,38,16,6,2,14,24,home,win,102.0,INDIANA PACERS,101.0
CLEVELAND CAVALIERS,240,41,84,9,20,14,21,15,33,28,7,2,13,21,away,win,105.0,TORONTO RAPTORS,91.0
TORONTO RAPTORS,240,35,86,8,24,13,20,14,26,25,4,4,11,17,home,loss,91.0,CLEVELAND CAVALIERS,105.0
ORLANDO MAGIC,240,37,74,7,17,17,20,9,29,15,6,3,8,20,away,win,98.0,UTAH JAZZ,93.0
UTAH JAZZ,240,36,79,8,16,13,21,13,28,23,4,6,11,21,home,loss,93.0,ORLANDO MAGIC,98.0
DENVER NUGGETS,240,31,82,5,22,22,30,10,26,16,8,7,19,22,away,loss,89.0,WASHINGTON WIZARDS,119.0
WASHINGTON WIZARDS,240,45,85,7,20,22,27,14,38,35,12,11,15,20,home,win,119.0,DENVER NUGGETS,89.0
