team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DENVER NUGGETS,240,33,78,6,19,17,25,5,29,18,13,1,18,28,away,loss,89.0,BOSTON CELTICS,105.0
BOSTON CELTICS,240,38,68,4,15,25,36,4,38,26,8,10,19,17,home,win,105.0,DENVER NUGGETS,89.0
CHICAGO BULLS,240,35,78,6,16,12,20,10,34,24,11,4,16,18,away,win,88.0,CLEVELAND CAVALIERS,83.0
CLEVELAND CAVALIERS,240,31,81,10,30,11,18,11,32,22,8,5,16,17,home,loss,83.0,CHICAGO BULLS,88.0
LOS ANGELES LAKERS,240,34,80,7,19,12,19,6,33,23,10,2,17,17,away,win,87.0,LOS ANGELES CLIPPERS,86.0
LOS ANGELES CLIPPERS,240,32,80,9,23,13,19,13,39,25,13,4,19,16,home,loss,86.0,LOS ANGELES LAKERS,87.0
INDIANA PACERS,240,32,74,9,24,22,31,5,32,16,5,7,11,27,away,loss,95.0,MILWAUKEE BUCKS,97.0
MILWAUKEE BUCKS,240,31,86,3,13,32,40,19,31,19,4,10,10,23,home,win,97.0,INDIANA PACERS,95.0
OKLAHOMA CITY THUNDER,240,40,77,6,17,25,27,3,39,27,7,12,15,25,away,win,111.0,MINNESOTA TIMBERWOLVES,103.0
MINNESOTA TIMBERWOLVES,240,39,93,8,18,17,26,15,25,21,9,5,12,20,home,loss,103.0,OKLAHOMA CITY THUNDER,111.0
DETROIT PISTONS,240,30,80,4,20,10,18,14,30,15,8,6,12,21,away,loss,74.0,NEW ORLEANS HORNETS,93.0
NEW ORLEANS HORNETS,240,37,74,6,14,13,21,4,36,29,7,5,10,17,home,win,93.0,DETROIT PISTONS,74.0
TORONTO RAPTORS,240,41,86,5,16,23,31,8,34,24,6,1,10,21,away,loss,110.0,NEW YORK KNICKS,113.0
NEW YORK KNICKS,240,43,89,8,21,19,22,12,36,19,4,5,15,26,home,win,113.0,TORONTO RAPTORS,110.0
MEMPHIS GRIZZLIES,265,42,85,2,7,18,22,14,33,23,7,4,15,22,away,win,104.0,PHOENIX SUNS,98.0
PHOENIX SUNS,265,37,88,7,30,17,27,19,28,16,9,6,16,17,home,loss,98.0,MEMPHIS GRIZZLIES,104.0
WASHINGTON WIZARDS,240,31,75,5,11,24,34,13,23,11,10,3,23,19,away,loss,91.0,SACRAMENTO KINGS,116.0
SACRAMENTO KINGS,240,45,83,8,17,18,24,16,32,27,15,4,19,24,home,win,116.0,WASHINGTON WIZARDS,91.0
GOLDEN STATE WARRIORS,240,37,82,12,23,8,11,13,32,24,6,2,21,15,away,loss,94.0,SAN ANTONIO SPURS,111.0
SAN ANTONIO SPURS,240,43,84,12,26,13,18,10,31,31,10,5,11,15,home,win,111.0,GOLDEN STATE WARRIORS,94.0
MIAMI HEAT,240,41,80,9,20,20,25,15,27,22,8,1,15,21,away,win,111.0,UTAH JAZZ,98.0
UTAH JAZZ,240,38,75,1,14,21,27,10,18,20,9,3,15,20,home,loss,98.0,MIAMI HEAT,111.0
