team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CLEVELAND CAVALIERS,240,33,82,4,18,21,25,8,32,19,7,5,13,21,away,loss,91.0,CHICAGO BULLS,100.0
CHICAGO BULLS,240,35,80,5,17,25,32,8,37,21,5,6,12,20,home,win,100.0,CLEVELAND CAVALIERS,91.0
SACRAMENTO KINGS,240,38,90,4,15,6,15,7,28,23,15,7,14,22,away,loss,86.0,DENVER NUGGETS,104.0
DENVER NUGGETS,240,39,85,6,14,20,26,13,45,22,10,7,20,18,home,win,104.0,SACRAMENTO KINGS,86.0
GOLDEN STATE WARRIORS,240,41,87,13,27,12,16,7,29,19,7,2,12,31,away,loss,107.0,MIAMI HEAT,114.0
MIAMI HEAT,240,35,71,9,21,35,47,10,33,24,7,6,14,12,home,win,114.0,GOLDEN STATE WARRIORS,107.0
DALLAS MAVERICKS,240,30,80,9,32,18,22,6,25,16,12,2,12,23,away,loss,87.0,MILWAUKEE BUCKS,99.0
MILWAUKEE BUCKS,240,38,77,4,16,19,25,8,43,24,4,4,16,18,home,win,99.0,DALLAS MAVERICKS,87.0
NEW JERSEY NETS,240,33,73,5,15,17,28,13,23,22,11,5,19,22,away,loss,88.0,MINNESOTA TIMBERWOLVES,103.0
MINNESOTA TIMBERWOLVES,240,37,73,7,16,22,28,10,25,19,12,3,17,28,home,win,103.0,NEW JERSEY NETS,88.0
OKLAHOMA CITY THUNDER,240,28,85,1,7,17,24,14,36,10,7,7,19,17,away,loss,74.0,SAN ANTONIO SPURS,101.0
SAN ANTONIO SPURS,240,42,90,5,16,12,16,11,41,23,10,5,14,20,home,win,101.0,OKLAHOMA CITY THUNDER,74.0
MEMPHIS GRIZZLIES,240,33,77,5,18,21,27,14,29,18,7,4,19,27,away,loss,92.0,UTAH JAZZ,98.0
UTAH JAZZ,240,36,74,4,11,22,35,9,26,27,8,8,10,19,home,win,98.0,MEMPHIS GRIZZLIES,92.0
NEW ORLEANS HORNETS,240,36,78,5,16,15,21,10,33,22,15,1,14,14,away,win,92.0,WASHINGTON WIZARDS,81.0
WASHINGTON WIZARDS,240,33,77,5,19,10,11,10,27,21,7,10,17,20,home,loss,81.0,NEW ORLEANS HORNETS,92.0
