team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
INDIANA PACERS,240,30,81,8,28,15,16,5,31,19,9,4,14,24,away,loss,83.0,ATLANTA HAWKS,97.0
ATLANTA HAWKS,240,33,73,4,12,27,34,9,39,25,8,7,15,21,home,win,97.0,INDIANA PACERS,83.0
BOSTON CELTICS,240,31,71,8,21,23,28,11,37,21,15,10,18,21,away,win,93.0,CHARLOTTE BOBCATS,62.0
CHARLOTTE BOBCATS,240,24,71,1,11,13,23,11,27,17,11,5,21,24,home,loss,62.0,BOSTON CELTICS,93.0
MINNESOTA TIMBERWOLVES,240,33,83,7,19,9,13,11,25,12,5,11,20,20,away,loss,82.0,CHICAGO BULLS,113.0
CHICAGO BULLS,240,41,86,10,17,21,27,17,36,28,11,11,15,15,home,win,113.0,MINNESOTA TIMBERWOLVES,82.0
UTAH JAZZ,240,36,81,5,16,20,23,11,26,19,9,3,11,27,away,loss,97.0,DALLAS MAVERICKS,103.0
DALLAS MAVERICKS,240,33,66,14,26,23,28,8,32,24,7,5,18,19,home,win,103.0,UTAH JAZZ,97.0
TORONTO RAPTORS,240,44,70,9,14,23,29,4,28,22,9,9,18,18,away,win,120.0,DETROIT PISTONS,116.0
DETROIT PISTONS,240,47,89,6,16,16,23,15,24,30,9,2,12,25,home,loss,116.0,TORONTO RAPTORS,120.0
CLEVELAND CAVALIERS,240,35,82,6,17,19,22,8,25,18,8,2,9,16,away,loss,95.0,HOUSTON ROCKETS,110.0
HOUSTON ROCKETS,240,39,80,12,26,20,23,10,38,20,4,5,15,21,home,win,110.0,CLEVELAND CAVALIERS,95.0
MEMPHIS GRIZZLIES,240,33,79,4,11,14,18,9,22,20,16,3,17,19,away,win,84.0,LOS ANGELES CLIPPERS,83.0
LOS ANGELES CLIPPERS,240,33,72,7,14,10,12,14,29,25,6,7,26,18,home,loss,83.0,MEMPHIS GRIZZLIES,84.0
MIAMI HEAT,240,41,79,7,14,15,24,11,45,22,7,8,14,18,away,win,104.0,SACRAMENTO KINGS,83.0
SACRAMENTO KINGS,240,33,90,6,18,11,21,13,23,17,6,4,11,21,home,loss,83.0,MIAMI HEAT,104.0
