team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
CHARLOTTE BOBCATS,240,33,87,2,14,17,20,18,30,18,8,3,7,15,away,loss,85.0,ATLANTA HAWKS,90.0
ATLANTA HAWKS,240,36,78,6,25,12,13,11,31,24,4,8,14,20,home,win,90.0,CHARLOTTE BOBCATS,85.0
PHOENIX SUNS,240,35,89,5,21,16,22,10,41,22,5,9,11,25,away,loss,91.0,DALLAS MAVERICKS,106.0
DALLAS MAVERICKS,240,39,86,8,18,20,31,11,43,27,9,4,9,18,home,win,106.0,PHOENIX SUNS,91.0
LOS ANGELES CLIPPERS,240,46,81,10,19,7,13,12,33,31,9,3,17,16,away,win,109.0,DETROIT PISTONS,88.0
DETROIT PISTONS,240,33,82,4,14,18,27,14,21,19,6,4,14,15,home,loss,88.0,LOS ANGELES CLIPPERS,109.0
MEMPHIS GRIZZLIES,240,31,85,2,5,23,29,11,25,12,13,9,15,17,away,loss,87.0,HOUSTON ROCKETS,103.0
HOUSTON ROCKETS,240,39,81,10,22,15,18,9,38,27,7,12,20,21,home,win,103.0,MEMPHIS GRIZZLIES,87.0
CLEVELAND CAVALIERS,240,34,82,6,13,25,34,4,34,21,5,3,14,25,away,loss,99.0,INDIANA PACERS,108.0
INDIANA PACERS,240,38,81,9,22,23,31,7,42,20,5,11,17,27,home,win,108.0,CLEVELAND CAVALIERS,99.0
UTAH JAZZ,240,29,81,3,19,10,20,7,17,13,7,5,10,17,away,loss,71.0,NEW ORLEANS HORNETS,100.0
NEW ORLEANS HORNETS,240,38,75,5,16,19,22,13,40,23,6,7,16,24,home,win,100.0,UTAH JAZZ,71.0
MIAMI HEAT,240,45,82,10,18,13,18,8,37,19,10,9,18,20,away,win,113.0,NEW YORK KNICKS,91.0
NEW YORK KNICKS,240,35,89,8,24,13,23,13,28,24,7,3,13,14,home,loss,91.0,MIAMI HEAT,113.0
SACRAMENTO KINGS,240,35,82,2,11,15,23,14,28,15,3,3,15,26,away,loss,87.0,OKLAHOMA CITY THUNDER,102.0
OKLAHOMA CITY THUNDER,240,39,81,3,15,21,33,14,29,23,8,8,13,21,home,win,102.0,SACRAMENTO KINGS,87.0
LOS ANGELES LAKERS,240,33,79,3,15,24,28,9,38,22,8,2,14,17,away,win,93.0,PHILADELPHIA 76ERS,81.0
PHILADELPHIA 76ERS,240,33,88,3,21,12,14,16,32,22,9,6,13,22,home,loss,81.0,LOS ANGELES LAKERS,93.0
MINNESOTA TIMBERWOLVES,240,41,92,3,17,17,19,21,28,17,10,6,17,20,away,loss,102.0,PORTLAND TRAIL BLAZERS,107.0
PORTLAND TRAIL BLAZERS,240,42,83,7,21,16,19,12,25,23,12,11,17,17,home,win,107.0,MINNESOTA TIMBERWOLVES,102.0
NEW JERSEY NETS,240,36,80,2,12,18,23,9,30,19,3,6,12,18,away,loss,92.0,TORONTO RAPTORS,98.0
TORONTO RAPTORS,240,40,86,7,18,11,16,11,32,26,4,4,9,20,home,win,98.0,NEW JERSEY NETS,92.0
