team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,45,87,8,15,10,14,11,33,23,11,3,12,16,away,win,108.0,ATLANTA HAWKS,91.0
ATLANTA HAWKS,240,36,73,5,13,14,21,7,25,24,3,3,17,16,home,loss,91.0,MILWAUKEE BUCKS,108.0
NEW JERSEY NETS,240,34,82,8,17,19,35,15,33,21,4,5,8,21,away,win,95.0,CLEVELAND CAVALIERS,87.0
CLEVELAND CAVALIERS,240,34,77,3,12,16,22,7,33,21,3,3,11,25,home,loss,87.0,NEW JERSEY NETS,95.0
DALLAS MAVERICKS,240,46,85,9,25,5,11,11,38,30,8,5,9,19,away,win,106.0,MEMPHIS GRIZZLIES,91.0
MEMPHIS GRIZZLIES,240,38,84,4,14,11,19,12,28,20,4,3,12,10,home,loss,91.0,DALLAS MAVERICKS,106.0
GOLDEN STATE WARRIORS,240,47,89,5,10,23,32,9,27,23,13,3,14,33,away,win,122.0,NEW YORK KNICKS,117.0
NEW YORK KNICKS,240,36,77,7,31,38,43,9,32,17,10,4,20,25,home,loss,117.0,GOLDEN STATE WARRIORS,122.0
PHILADELPHIA 76ERS,240,39,81,5,15,20,27,12,25,25,8,1,16,25,away,loss,103.0,OKLAHOMA CITY THUNDER,109.0
OKLAHOMA CITY THUNDER,240,36,73,2,14,35,37,5,29,17,11,7,14,22,home,win,109.0,PHILADELPHIA 76ERS,103.0
UTAH JAZZ,240,37,74,5,14,25,28,6,29,24,7,3,14,22,away,win,104.0,ORLANDO MAGIC,94.0
ORLANDO MAGIC,240,34,79,12,32,14,25,18,23,23,7,4,21,21,home,loss,94.0,UTAH JAZZ,104.0
MINNESOTA TIMBERWOLVES,240,41,87,4,11,12,20,12,29,15,5,2,15,24,away,win,98.0,SACRAMENTO KINGS,89.0
SACRAMENTO KINGS,240,32,72,5,20,20,32,8,33,25,6,8,19,23,home,loss,89.0,MINNESOTA TIMBERWOLVES,98.0
LOS ANGELES CLIPPERS,240,40,86,7,10,8,14,13,21,21,10,4,14,24,away,loss,95.0,SAN ANTONIO SPURS,107.0
SAN ANTONIO SPURS,240,35,71,11,18,26,30,10,31,21,6,11,16,17,home,win,107.0,LOS ANGELES CLIPPERS,95.0
CHARLOTTE BOBCATS,240,34,69,6,14,27,33,8,28,23,9,13,16,22,away,win,101.0,TORONTO RAPTORS,96.0
TORONTO RAPTORS,240,37,81,3,10,19,25,14,24,23,7,5,17,26,home,loss,96.0,CHARLOTTE BOBCATS,101.0
HOUSTON ROCKETS,240,34,87,6,20,17,19,10,34,20,6,7,14,21,away,loss,91.0,WASHINGTON WIZARDS,98.0
WASHINGTON WIZARDS,240,39,88,6,13,14,22,16,35,25,10,10,17,24,home,win,98.0,HOUSTON ROCKETS,91.0
