team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
SACRAMENTO KINGS,240,38,84,9,16,19,22,12,29,29,9,4,14,21,away,win,104.0,BOSTON CELTICS,100.0
BOSTON CELTICS,240,38,79,5,14,19,25,11,29,23,10,3,16,20,home,loss,100.0,SACRAMENTO KINGS,104.0
LOS ANGELES LAKERS,240,31,81,5,18,22,25,9,26,19,9,3,11,25,away,loss,89.0,CLEVELAND CAVALIERS,103.0
CLEVELAND CAVALIERS,240,39,74,0,5,25,29,10,35,28,6,7,12,24,home,win,103.0,LOS ANGELES LAKERS,89.0
PHOENIX SUNS,265,40,87,8,16,18,28,8,44,26,3,9,17,18,away,win,106.0,GOLDEN STATE WARRIORS,102.0
GOLDEN STATE WARRIORS,265,43,118,4,29,12,20,31,41,18,10,2,12,26,home,loss,102.0,PHOENIX SUNS,106.0
PORTLAND TRAIL BLAZERS,240,30,66,8,13,12,23,5,34,22,7,10,13,23,away,loss,80.0,HOUSTON ROCKETS,81.0
HOUSTON ROCKETS,240,31,78,0,11,19,31,12,31,21,6,2,12,22,home,win,81.0,PORTLAND TRAIL BLAZERS,80.0
MEMPHIS GRIZZLIES,240,26,75,5,18,16,21,15,28,13,6,7,12,18,away,loss,73.0,INDIANA PACERS,76.0
INDIANA PACERS,240,27,74,7,16,15,21,16,33,13,7,8,15,19,home,win,76.0,MEMPHIS GRIZZLIES,73.0
SAN ANTONIO SPURS,240,31,79,9,17,21,25,9,29,18,12,3,12,21,away,loss,92.0,MIAMI HEAT,96.0
MIAMI HEAT,240,35,67,5,9,21,30,5,36,14,6,5,17,21,home,win,96.0,SAN ANTONIO SPURS,92.0
CHICAGO BULLS,240,33,82,4,14,17,20,16,31,20,4,3,11,14,away,win,87.0,MINNESOTA TIMBERWOLVES,83.0
MINNESOTA TIMBERWOLVES,240,36,90,4,10,7,9,18,28,21,4,5,9,20,home,loss,83.0,CHICAGO BULLS,87.0
DENVER NUGGETS,240,28,65,3,9,20,30,10,24,17,8,3,20,21,away,loss,79.0,NEW JERSEY NETS,94.0
NEW JERSEY NETS,240,36,69,6,16,16,21,6,29,31,10,5,15,23,home,win,94.0,DENVER NUGGETS,79.0
CHARLOTTE BOBCATS,240,30,68,5,14,34,39,11,23,15,7,2,10,23,away,loss,99.0,NEW YORK KNICKS,102.0
NEW YORK KNICKS,240,36,77,4,13,26,28,12,26,22,5,2,10,29,home,win,102.0,CHARLOTTE BOBCATS,99.0
NEW ORLEANS HORNETS,240,35,80,9,23,15,24,10,28,22,7,2,16,25,away,loss,94.0,ORLANDO MAGIC,97.0
ORLANDO MAGIC,240,36,73,3,10,22,29,9,33,23,12,8,16,18,home,win,97.0,NEW ORLEANS HORNETS,94.0
DALLAS MAVERICKS,240,35,75,3,9,22,30,10,39,22,5,5,13,21,away,win,95.0,SEATTLE SUPERSONICS,92.0
SEATTLE SUPERSONICS,240,35,89,8,24,14,21,13,27,17,7,5,8,23,home,loss,92.0,DALLAS MAVERICKS,95.0
LOS ANGELES CLIPPERS,240,40,85,2,7,24,30,11,35,25,4,4,9,23,away,loss,106.0,TORONTO RAPTORS,109.0
TORONTO RAPTORS,240,38,85,10,21,23,27,10,33,28,5,2,9,20,home,win,109.0,LOS ANGELES CLIPPERS,106.0
