team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DETROIT PISTONS,265,41,83,9,19,23,30,12,29,25,6,5,12,15,away,win,114.0,ATLANTA HAWKS,108.0
ATLANTA HAWKS,265,46,89,2,8,14,15,11,27,23,7,2,11,24,home,loss,108.0,DETROIT PISTONS,114.0
BOSTON CELTICS,240,47,81,8,16,17,22,11,24,27,8,7,22,27,away,win,119.0,CHARLOTTE BOBCATS,110.0
CHARLOTTE BOBCATS,240,40,89,7,16,23,27,15,20,22,13,5,13,19,home,loss,110.0,BOSTON CELTICS,119.0
HOUSTON ROCKETS,240,36,90,9,24,16,18,18,39,18,5,6,10,21,away,win,97.0,GOLDEN STATE WARRIORS,94.0
GOLDEN STATE WARRIORS,240,31,86,14,33,18,30,18,31,25,6,2,9,20,home,loss,94.0,HOUSTON ROCKETS,97.0
PORTLAND TRAIL BLAZERS,240,33,71,6,14,11,13,9,27,21,4,5,20,19,away,loss,83.0,MEMPHIS GRIZZLIES,104.0
MEMPHIS GRIZZLIES,240,37,71,6,18,24,30,7,26,22,12,4,9,16,home,win,104.0,PORTLAND TRAIL BLAZERS,83.0
MILWAUKEE BUCKS,240,25,78,4,15,17,21,11,27,9,3,3,11,21,away,loss,71.0,MIAMI HEAT,110.0
MIAMI HEAT,240,41,74,5,14,23,35,7,40,24,8,6,8,18,home,win,110.0,MILWAUKEE BUCKS,71.0
NEW ORLEANS HORNETS,240,39,90,2,5,9,10,14,23,21,5,0,10,18,away,loss,89.0,SAN ANTONIO SPURS,112.0
SAN ANTONIO SPURS,240,41,75,13,19,17,21,11,34,29,4,8,13,15,home,win,112.0,NEW ORLEANS HORNETS,89.0
LOS ANGELES LAKERS,240,31,88,10,34,9,12,18,22,23,8,5,18,26,away,loss,81.0,WASHINGTON WIZARDS,95.0
WASHINGTON WIZARDS,240,32,72,5,17,26,36,13,30,21,11,5,16,19,home,win,95.0,LOS ANGELES LAKERS,81.0
