team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MILWAUKEE BUCKS,240,44,79,7,11,17,26,6,37,37,5,6,11,26,away,win,112.0,CHARLOTTE BOBCATS,102.0
CHARLOTTE BOBCATS,240,37,90,4,9,24,30,12,34,17,7,4,10,22,home,loss,102.0,MILWAUKEE BUCKS,112.0
MIAMI HEAT,265,41,82,6,17,13,25,7,41,27,11,8,19,25,away,loss,101.0,CHICAGO BULLS,105.0
CHICAGO BULLS,265,38,96,10,23,19,30,18,36,19,11,0,15,23,home,win,105.0,MIAMI HEAT,101.0
NEW YORK KNICKS,240,35,93,4,21,14,20,17,32,16,6,3,10,23,away,loss,88.0,DETROIT PISTONS,97.0
DETROIT PISTONS,240,34,74,4,12,25,33,9,36,23,5,10,12,17,home,win,97.0,NEW YORK KNICKS,88.0
SEATTLE SUPERSONICS,240,31,85,4,25,21,28,17,33,18,9,2,14,21,away,win,87.0,HOUSTON ROCKETS,85.0
HOUSTON ROCKETS,240,33,76,7,18,12,18,10,27,23,12,6,15,26,home,loss,85.0,SEATTLE SUPERSONICS,87.0
BOSTON CELTICS,240,34,74,5,16,22,32,7,25,19,8,8,13,31,away,loss,95.0,LOS ANGELES LAKERS,104.0
LOS ANGELES LAKERS,240,34,82,8,19,28,41,21,33,19,10,6,13,25,home,win,104.0,BOSTON CELTICS,95.0
TORONTO RAPTORS,240,36,75,8,20,20,25,6,42,20,9,6,17,22,away,win,100.0,NEW JERSEY NETS,82.0
NEW JERSEY NETS,240,31,83,4,15,16,25,12,31,18,9,4,17,20,home,loss,82.0,TORONTO RAPTORS,100.0
INDIANA PACERS,240,38,76,8,14,24,32,9,33,15,10,2,17,23,away,win,108.0,ORLANDO MAGIC,84.0
ORLANDO MAGIC,240,30,79,5,10,19,34,12,24,12,7,8,16,25,home,loss,84.0,INDIANA PACERS,108.0
ATLANTA HAWKS,240,41,89,8,20,14,19,15,30,20,10,5,18,23,away,loss,104.0,SACRAMENTO KINGS,114.0
SACRAMENTO KINGS,240,45,87,3,12,21,27,12,33,29,11,7,15,15,home,win,114.0,ATLANTA HAWKS,104.0
