team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
ORLANDO MAGIC,240,30,79,2,7,17,21,9,33,9,10,9,15,20,away,loss,79.0,ATLANTA HAWKS,80.0
ATLANTA HAWKS,240,33,76,4,15,10,14,7,34,22,7,6,16,20,home,win,80.0,ORLANDO MAGIC,79.0
HOUSTON ROCKETS,240,34,73,8,19,21,26,9,30,27,10,5,12,18,away,win,97.0,BOSTON CELTICS,94.0
BOSTON CELTICS,240,38,77,3,14,15,20,7,25,23,5,6,13,25,home,loss,94.0,HOUSTON ROCKETS,97.0
NEW YORK KNICKS,240,37,71,4,10,11,15,8,28,21,6,2,17,15,away,loss,89.0,LOS ANGELES CLIPPERS,96.0
LOS ANGELES CLIPPERS,240,42,88,2,9,10,14,17,27,26,12,7,10,14,home,win,96.0,NEW YORK KNICKS,89.0
MEMPHIS GRIZZLIES,240,31,63,9,19,27,32,5,27,26,8,2,16,16,away,win,98.0,NEW ORLEANS HORNETS,91.0
NEW ORLEANS HORNETS,240,38,81,6,19,9,10,11,23,25,8,2,13,26,home,loss,91.0,MEMPHIS GRIZZLIES,98.0
INDIANA PACERS,240,30,66,7,19,21,31,5,27,20,6,9,15,22,away,loss,88.0,PHILADELPHIA 76ERS,89.0
PHILADELPHIA 76ERS,240,33,73,9,16,14,18,11,31,19,7,5,17,23,home,win,89.0,INDIANA PACERS,88.0
SAN ANTONIO SPURS,240,39,81,8,18,17,21,13,29,22,8,5,10,18,away,win,103.0,SEATTLE SUPERSONICS,84.0
SEATTLE SUPERSONICS,240,30,73,4,13,20,25,10,26,18,8,5,15,18,home,loss,84.0,SAN ANTONIO SPURS,103.0
