team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_date,location,outcome,game_score,opponent,opponent_score,field_goal_percentage,three_point_percentage,total_rebounds
DENVER NUGGETS,240,45,91,9,28,19,26,20,28,22,8,4,15,20,2017-12-13,away,loss,118.0,BOSTON CELTICS,124.0,0.33088235294117646,0.24324324324324326,48
BOSTON CELTICS,240,47,79,11,25,19,24,4,26,29,10,7,13,20,2017-12-13,home,win,124.0,DENVER NUGGETS,118.0,0.373015873015873,0.3055555555555556,30
UTAH JAZZ,240,42,91,9,30,7,7,5,43,24,3,8,16,19,2017-12-13,away,loss,100.0,CHICAGO BULLS,103.0,0.3157894736842105,0.23076923076923078,48
CHICAGO BULLS,240,41,93,7,17,14,21,9,37,21,9,3,9,14,2017-12-13,home,win,103.0,UTAH JAZZ,100.0,0.30597014925373134,0.2916666666666667,46
CHARLOTTE HORNETS,240,36,87,4,21,20,27,12,44,14,4,5,12,15,2017-12-13,away,loss,96.0,HOUSTON ROCKETS,108.0,0.2926829268292683,0.16,56
HOUSTON ROCKETS,240,39,88,17,45,13,19,6,39,24,7,5,10,18,2017-12-13,home,win,108.0,CHARLOTTE HORNETS,96.0,0.30708661417322836,0.27419354838709675,45
OKLAHOMA CITY THUNDER,240,36,88,13,29,15,24,17,35,26,10,6,13,12,2017-12-13,away,win,100.0,INDIANA PACERS,95.0,0.2903225806451613,0.30952380952380953,52
INDIANA PACERS,240,40,89,11,31,4,6,11,31,18,11,7,13,21,2017-12-13,home,loss,95.0,OKLAHOMA CITY THUNDER,100.0,0.31007751937984496,0.2619047619047619,42
PORTLAND TRAIL BLAZERS,240,36,72,10,28,20,23,5,28,14,7,2,11,21,2017-12-13,away,win,102.0,MIAMI HEAT,95.0,0.3333333333333333,0.2631578947368421,33
MIAMI HEAT,240,34,72,13,30,14,23,10,26,19,6,1,15,21,2017-12-13,home,loss,95.0,PORTLAND TRAIL BLAZERS,102.0,0.32075471698113206,0.3023255813953488,36
MILWAUKEE BUCKS,240,44,95,8,27,12,19,15,23,23,14,5,9,13,2017-12-13,away,loss,108.0,NEW ORLEANS PELICANS,115.0,0.31654676258992803,0.22857142857142856,38
NEW ORLEANS PELICANS,240,45,80,13,25,12,15,9,32,35,5,8,21,16,2017-12-13,home,win,115.0,MILWAUKEE BUCKS,108.0,0.36,0.34210526315789475,41
LOS ANGELES CLIPPERS,240,39,88,12,26,16,20,6,45,25,10,6,8,19,2017-12-13,away,win,106.0,ORLANDO MAGIC,95.0,0.30708661417322836,0.3157894736842105,51
ORLANDO MAGIC,240,37,88,9,27,12,21,7,38,24,6,6,12,13,2017-12-13,home,loss,95.0,LOS ANGELES CLIPPERS,106.0,0.296,0.25,45
TORONTO RAPTORS,240,40,92,9,26,26,31,8,37,16,7,3,6,25,2017-12-13,away,win,115.0,PHOENIX SUNS,109.0,0.30303030303030304,0.2571428571428571,45
PHOENIX SUNS,240,37,83,8,24,27,34,10,31,20,3,9,11,24,2017-12-13,home,loss,109.0,TORONTO RAPTORS,115.0,0.30833333333333335,0.25,41
MEMPHIS GRIZZLIES,240,31,81,10,28,15,16,10,37,18,6,2,16,23,2017-12-13,away,loss,87.0,WASHINGTON WIZARDS,93.0,0.2767857142857143,0.2631578947368421,47
WASHINGTON WIZARDS,240,36,77,9,22,12,24,6,38,21,7,8,15,22,2017-12-13,home,win,93.0,MEMPHIS GRIZZLIES,87.0,0.3185840707964602,0.2903225806451613,44
