team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
WASHINGTON WIZARDS,240,34,93,5,20,11,15,7,28,22,7,1,7,18,away,loss,84.0,BROOKLYN NETS,119.0
BROOKLYN NETS,240,44,88,14,41,17,21,13,47,29,4,4,14,17,home,win,119.0,WASHINGTON WIZARDS,84.0
NEW YORK KNICKS,240,44,97,8,24,5,6,16,35,25,6,9,14,20,away,loss,101.0,DETROIT PISTONS,104.0
DETROIT PISTONS,240,38,88,10,25,18,25,15,29,19,8,5,11,11,home,win,104.0,NEW YORK KNICKS,101.0
LOS ANGELES LAKERS,240,40,94,11,29,15,22,15,31,22,11,5,15,23,away,loss,106.0,GOLDEN STATE WARRIORS,113.0
GOLDEN STATE WARRIORS,240,42,85,7,24,22,27,10,32,24,9,13,15,17,home,win,113.0,LOS ANGELES LAKERS,106.0
LOS ANGELES CLIPPERS,240,43,91,18,42,24,31,9,29,24,8,5,8,25,away,win,128.0,HOUSTON ROCKETS,118.0
HOUSTON ROCKETS,240,36,78,17,40,29,35,9,34,16,4,4,17,26,home,loss,118.0,LOS ANGELES CLIPPERS,128.0
DALLAS MAVERICKS,240,38,75,17,35,8,11,3,19,28,5,2,8,12,away,loss,101.0,MIAMI HEAT,113.0
MIAMI HEAT,240,46,72,16,25,5,6,2,33,25,3,3,11,15,home,win,113.0,DALLAS MAVERICKS,101.0
CHARLOTTE HORNETS,240,39,88,12,26,14,17,9,34,21,4,7,9,18,away,loss,104.0,MILWAUKEE BUCKS,109.0
MILWAUKEE BUCKS,240,41,87,8,29,19,23,6,37,27,7,5,7,16,home,win,109.0,CHARLOTTE HORNETS,104.0
ATLANTA HAWKS,240,44,85,15,32,14,17,7,20,28,12,3,15,24,away,loss,117.0,OKLAHOMA CITY THUNDER,120.0
OKLAHOMA CITY THUNDER,240,44,82,13,25,19,31,15,25,24,11,5,19,18,home,win,120.0,ATLANTA HAWKS,117.0
NEW ORLEANS PELICANS,240,43,86,10,30,15,24,11,37,23,10,2,15,25,away,win,111.0,ORLANDO MAGIC,97.0
ORLANDO MAGIC,240,36,85,4,20,21,29,10,30,16,7,2,14,19,home,loss,97.0,NEW ORLEANS PELICANS,111.0
DENVER NUGGETS,240,42,85,7,25,11,15,16,33,19,4,10,14,13,away,win,102.0,PORTLAND TRAIL BLAZERS,85.0
PORTLAND TRAIL BLAZERS,240,35,83,6,22,9,16,10,24,15,6,4,9,19,home,loss,85.0,DENVER NUGGETS,102.0
