team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
PHOENIX SUNS,240,42,83,18,32,13,19,5,30,27,9,3,14,25,away,loss,115.0,CHARLOTTE HORNETS,122.0
CHARLOTTE HORNETS,240,44,87,13,32,21,27,7,34,24,11,5,12,18,home,win,122.0,PHOENIX SUNS,115.0
MEMPHIS GRIZZLIES,240,30,84,7,18,13,17,9,32,19,4,4,14,24,away,loss,80.0,DALLAS MAVERICKS,114.0
DALLAS MAVERICKS,240,37,77,10,29,30,35,9,43,21,8,3,10,18,home,win,114.0,MEMPHIS GRIZZLIES,80.0
ORLANDO MAGIC,240,38,84,8,24,21,27,9,24,20,12,2,14,19,away,loss,105.0,LOS ANGELES CLIPPERS,113.0
LOS ANGELES CLIPPERS,240,41,78,7,18,24,28,8,33,17,9,3,15,20,home,win,113.0,ORLANDO MAGIC,105.0
WASHINGTON WIZARDS,240,34,77,7,20,27,34,8,32,22,4,2,15,20,away,loss,102.0,MIAMI HEAT,129.0
MIAMI HEAT,240,52,88,10,28,15,21,5,37,27,9,5,10,25,home,win,129.0,WASHINGTON WIZARDS,102.0
SAN ANTONIO SPURS,240,40,86,10,20,4,7,6,37,26,6,3,14,22,away,loss,94.0,OKLAHOMA CITY THUNDER,104.0
OKLAHOMA CITY THUNDER,240,39,85,10,28,16,24,11,38,24,8,4,15,13,home,win,104.0,SAN ANTONIO SPURS,94.0
