team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
NEW ORLEANS PELICANS,240,35,80,10,27,13,19,9,34,27,5,6,12,20,away,loss,93.0,ATLANTA HAWKS,94.0
ATLANTA HAWKS,240,37,89,10,40,10,13,12,31,32,5,3,10,22,home,win,94.0,NEW ORLEANS PELICANS,93.0
SAN ANTONIO SPURS,240,34,82,9,19,23,31,7,35,24,8,4,9,20,away,win,100.0,BROOKLYN NETS,95.0
BROOKLYN NETS,240,35,83,13,36,12,18,6,41,23,3,1,14,28,home,loss,95.0,SAN ANTONIO SPURS,100.0
GOLDEN STATE WARRIORS,240,42,84,13,33,22,25,5,44,24,5,3,15,16,away,win,119.0,CHICAGO BULLS,112.0
CHICAGO BULLS,240,45,106,10,39,12,13,14,35,24,10,2,11,19,home,loss,112.0,GOLDEN STATE WARRIORS,119.0
WASHINGTON WIZARDS,240,40,82,13,23,16,23,7,33,31,3,7,16,23,away,loss,109.0,CHARLOTTE HORNETS,133.0
CHARLOTTE HORNETS,240,48,98,15,31,22,26,13,36,27,10,5,9,18,home,win,133.0,WASHINGTON WIZARDS,109.0
DENVER NUGGETS,240,42,97,5,25,15,18,20,34,23,13,7,19,25,away,loss,104.0,LOS ANGELES CLIPPERS,109.0
LOS ANGELES CLIPPERS,240,40,87,10,30,19,31,17,31,22,10,5,20,16,home,win,109.0,DENVER NUGGETS,104.0
NEW YORK KNICKS,240,35,82,7,27,22,23,12,33,22,5,12,14,15,away,loss,99.0,MEMPHIS GRIZZLIES,105.0
MEMPHIS GRIZZLIES,240,41,91,10,28,13,17,15,29,23,9,3,11,19,home,win,105.0,NEW YORK KNICKS,99.0
MIAMI HEAT,240,38,82,10,24,20,27,10,36,28,4,7,15,28,away,win,106.0,MILWAUKEE BUCKS,101.0
MILWAUKEE BUCKS,240,33,76,11,28,24,32,5,33,23,6,4,9,25,home,loss,101.0,MIAMI HEAT,106.0
LOS ANGELES LAKERS,240,38,81,10,26,4,4,6,24,25,9,1,16,15,away,loss,90.0,OKLAHOMA CITY THUNDER,114.0
OKLAHOMA CITY THUNDER,240,46,95,12,35,10,12,21,33,22,10,6,16,14,home,win,114.0,LOS ANGELES LAKERS,90.0
UTAH JAZZ,240,46,81,12,29,16,20,6,23,26,15,4,10,20,away,win,120.0,SACRAMENTO KINGS,105.0
SACRAMENTO KINGS,240,38,72,13,21,16,20,8,28,19,9,4,19,21,home,loss,105.0,UTAH JAZZ,120.0
DETROIT PISTONS,240,37,88,10,28,7,15,11,31,22,14,7,14,20,away,loss,91.0,TORONTO RAPTORS,96.0
TORONTO RAPTORS,240,34,80,11,31,17,23,12,37,24,6,8,20,20,home,win,96.0,DETROIT PISTONS,91.0
