team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
DALLAS MAVERICKS,240,34,86,9,28,13,17,6,39,19,7,5,9,12,away,loss,90.0,BOSTON CELTICS,97.0
BOSTON CELTICS,240,36,87,12,34,13,17,9,44,25,8,8,11,15,home,win,97.0,DALLAS MAVERICKS,90.0
GOLDEN STATE WARRIORS,240,40,84,11,30,10,13,8,39,26,8,12,15,20,away,win,101.0,CHARLOTTE HORNETS,87.0
CHARLOTTE HORNETS,240,34,97,6,19,13,17,14,35,17,5,3,12,13,home,loss,87.0,GOLDEN STATE WARRIORS,101.0
SACRAMENTO KINGS,240,39,86,10,32,7,13,9,36,25,15,5,12,20,away,loss,95.0,CLEVELAND CAVALIERS,101.0
CLEVELAND CAVALIERS,240,37,78,14,39,13,21,7,36,28,5,3,15,10,home,win,101.0,SACRAMENTO KINGS,95.0
CHICAGO BULLS,240,39,83,10,26,8,16,11,35,18,3,5,16,15,away,loss,96.0,INDIANA PACERS,98.0
INDIANA PACERS,240,39,87,12,34,8,10,7,32,21,7,5,13,14,home,win,98.0,CHICAGO BULLS,96.0
MINNESOTA TIMBERWOLVES,240,45,82,7,19,16,21,8,38,29,4,7,15,17,away,win,113.0,LOS ANGELES CLIPPERS,107.0
LOS ANGELES CLIPPERS,240,44,99,10,32,9,15,17,26,23,6,3,9,17,home,loss,107.0,MINNESOTA TIMBERWOLVES,113.0
DETROIT PISTONS,240,36,87,10,30,18,27,17,29,20,5,0,11,20,away,loss,100.0,MILWAUKEE BUCKS,104.0
MILWAUKEE BUCKS,240,39,79,8,22,18,26,13,28,22,7,5,12,21,home,win,104.0,DETROIT PISTONS,100.0
DENVER NUGGETS,240,41,94,16,35,16,22,10,30,22,7,4,9,21,away,loss,114.0,NEW ORLEANS PELICANS,123.0
NEW ORLEANS PELICANS,240,46,86,12,31,19,29,11,38,28,4,5,11,19,home,win,123.0,DENVER NUGGETS,114.0
MEMPHIS GRIZZLIES,240,29,70,12,28,18,22,4,23,14,8,5,15,24,away,loss,88.0,NEW YORK KNICKS,99.0
NEW YORK KNICKS,240,35,67,9,14,20,27,10,32,22,8,3,16,21,home,win,99.0,MEMPHIS GRIZZLIES,88.0
ATLANTA HAWKS,265,40,93,11,27,15,20,11,38,25,7,3,17,16,away,loss,106.0,ORLANDO MAGIC,110.0
ORLANDO MAGIC,265,46,98,6,28,12,18,13,39,17,9,7,16,23,home,win,110.0,ATLANTA HAWKS,106.0
MIAMI HEAT,240,39,72,18,34,9,12,6,23,28,7,4,18,16,away,loss,105.0,SAN ANTONIO SPURS,117.0
SAN ANTONIO SPURS,240,46,87,13,25,12,14,10,24,30,6,7,11,13,home,win,117.0,MIAMI HEAT,105.0
