team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
MINNESOTA TIMBERWOLVES,240,34,83,6,21,12,16,9,26,16,13,3,12,22
BOSTON CELTICS,240,29,69,4,16,25,30,12,35,17,7,7,23,17
CHARLOTTE BOBCATS,240,36,73,4,11,14,21,9,33,26,5,8,16,18
CHICAGO BULLS,240,30,81,4,18,13,22,14,30,17,7,8,12,17
PHOENIX SUNS,240,36,67,17,33,21,26,3,30,29,4,6,14,20
CLEVELAND CAVALIERS,240,41,90,5,17,21,27,17,24,21,10,2,9,23
LOS ANGELES LAKERS,240,36,64,5,14,28,40,5,32,21,5,3,16,30
DALLAS MAVERICKS,240,39,82,5,16,29,36,13,28,13,7,3,8,29
NEW JERSEY NETS,240,33,86,9,17,10,19,12,38,27,5,5,18,26
DENVER NUGGETS,240,31,86,5,23,33,43,13,38,20,15,8,8,20
ORLANDO MAGIC,240,31,70,6,19,25,39,8,23,16,6,6,9,16
DETROIT PISTONS,240,41,81,5,13,14,17,15,34,25,8,4,14,30
LOS ANGELES CLIPPERS,240,36,78,3,10,17,18,7,31,20,5,2,12,16
NEW ORLEANS HORNETS,240,42,89,14,24,13,15,15,34,27,10,4,11,18
PHILADELPHIA 76ERS,240,33,78,2,10,13,19,14,24,14,6,3,10,21
NEW YORK KNICKS,240,35,76,5,15,14,22,14,30,22,4,1,12,18
HOUSTON ROCKETS,240,30,74,5,18,24,29,16,32,18,10,1,20,22
PORTLAND TRAIL BLAZERS,240,25,70,5,12,24,32,10,20,14,13,3,16,24
ATLANTA HAWKS,240,36,83,3,8,24,30,12,37,19,8,7,15,22
SEATTLE SUPERSONICS,240,36,88,0,11,18,23,9,32,17,10,10,13,22
MILWAUKEE BUCKS,240,31,73,3,23,10,22,13,23,11,3,1,15,19
TORONTO RAPTORS,240,38,75,8,15,22,25,12,30,23,9,2,11,21
SACRAMENTO KINGS,240,34,70,9,21,36,42,9,25,20,4,2,12,20
UTAH JAZZ,240,45,78,8,14,29,38,9,28,31,8,6,9,30
MEMPHIS GRIZZLIES,240,33,77,10,28,17,22,10,26,16,10,4,19,21
WASHINGTON WIZARDS,240,41,83,5,17,17,25,15,32,24,11,5,20,23
