team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
MINNESOTA TIMBERWOLVES,240,46,80,7,15,18,22,8,32,27,10,5,19,18,away,win,117.0,ATLANTA HAWKS,107.0
ATLANTA HAWKS,240,44,86,13,31,6,7,4,23,30,13,6,17,19,home,loss,107.0,MINNESOTA TIMBERWOLVES,117.0
PORTLAND TRAIL BLAZERS,240,36,91,10,29,22,27,10,29,20,6,3,9,22,away,loss,104.0,DENVER NUGGETS,108.0
DENVER NUGGETS,240,40,77,7,19,21,32,8,39,20,5,7,14,20,home,win,108.0,PORTLAND TRAIL BLAZERS,104.0
DETROIT PISTONS,240,40,85,6,19,9,15,12,29,15,9,3,20,14,away,loss,95.0,GOLDEN STATE WARRIORS,109.0
GOLDEN STATE WARRIORS,240,43,91,12,21,11,13,13,28,29,13,4,16,18,home,win,109.0,DETROIT PISTONS,95.0
ORLANDO MAGIC,240,31,78,10,33,12,17,7,37,16,9,3,21,20,away,loss,84.0,INDIANA PACERS,97.0
INDIANA PACERS,240,34,77,11,25,18,22,6,36,25,12,4,18,16,home,win,97.0,ORLANDO MAGIC,84.0
MEMPHIS GRIZZLIES,240,35,80,2,11,20,29,10,30,21,11,3,14,28,away,loss,92.0,LOS ANGELES CLIPPERS,94.0
LOS ANGELES CLIPPERS,240,28,68,5,19,33,37,8,32,14,5,8,18,20,home,win,94.0,MEMPHIS GRIZZLIES,92.0
CHICAGO BULLS,240,41,96,10,25,19,23,13,45,28,6,10,14,19,away,win,111.0,PHILADELPHIA 76ERS,88.0
PHILADELPHIA 76ERS,240,35,100,5,25,13,23,15,37,19,6,9,13,13,home,loss,88.0,CHICAGO BULLS,111.0
SAN ANTONIO SPURS,240,46,87,6,23,8,11,8,38,34,11,7,16,19,away,win,106.0,SACRAMENTO KINGS,88.0
SACRAMENTO KINGS,240,34,84,7,19,13,19,11,31,25,10,5,19,14,home,loss,88.0,SAN ANTONIO SPURS,106.0
