team,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,location,outcome,game_score,opponent,opponent_score
OKLAHOMA CITY THUNDER,240,38,84,5,13,17,20,9,35,21,2,8,9,18,away,loss,98.0,CHICAGO BULLS,104.0
CHICAGO BULLS,240,40,90,7,18,17,21,11,36,20,3,7,6,17,home,win,104.0,OKLAHOMA CITY THUNDER,98.0
CHARLOTTE HORNETS,240,44,89,6,27,14,17,8,40,19,8,6,11,25,away,win,108.0,DALLAS MAVERICKS,94.0
DALLAS MAVERICKS,240,32,82,6,29,24,27,8,36,17,8,2,13,13,home,loss,94.0,CHARLOTTE HORNETS,108.0
UTAH JAZZ,240,37,85,11,24,11,17,12,31,23,6,6,10,26,away,win,96.0,DENVER NUGGETS,84.0
DENVER NUGGETS,240,28,72,5,20,23,34,11,34,16,4,6,13,14,home,loss,84.0,UTAH JAZZ,96.0
MIAMI HEAT,240,37,76,4,14,18,25,7,35,14,6,6,16,19,away,win,96.0,MINNESOTA TIMBERWOLVES,84.0
MINNESOTA TIMBERWOLVES,240,30,85,4,12,20,22,10,34,16,7,6,16,27,home,loss,84.0,MIAMI HEAT,96.0
MEMPHIS GRIZZLIES,240,37,77,7,20,15,21,7,29,20,4,5,8,14,away,loss,96.0,PORTLAND TRAIL BLAZERS,115.0
PORTLAND TRAIL BLAZERS,240,44,87,15,30,12,20,14,33,29,3,3,8,19,home,win,115.0,MEMPHIS GRIZZLIES,96.0
